asset_id,downstream_assets,customers_affected,population_water_affected,critical_facilities_affected,cascade_population_water,cascade_delay_hours,consequence_score
DSS-00068,13,7640.0,15106.0,1,15106.0,0.0,49812.0
DSS-00069,4,8615.0,26265.0,3,9192.8,72.0,58495.3
DSS-00070,17,4726.0,75627.0,1,75627.0,0.0,163569.0
DSS-00071,5,4810.0,0.0,1,0.0,,12525.0
DSS-00072,1,1147.0,0.0,0,0.0,,2867.5
DSS-00073,18,34940.0,20948.0,4,20948.0,0.0,131246.0
DSS-00074,13,13627.0,15980.0,2,12387.5,12.0,63435.0
DSS-00075,0,0.0,0.0,0,0.0,,0.0
DSS-00076,9,24135.0,0.0,2,0.0,,61337.5
DSS-00077,7,2286.0,5640.0,1,1974.0,12.0,13829.0
DSS-00078,5,0.0,28928.0,0,28928.0,0.0,57856.0
DSS-00079,0,0.0,0.0,0,0.0,,0.0
DSS-00080,4,11984.0,35255.0,2,12339.2,24.0,78554.2
DSS-00081,5,0.0,22701.0,1,7945.3,12.0,31146.3
DSS-00082,11,6708.0,24464.0,2,24464.0,0.0,66698.0
DSS-00083,2,6095.0,0.0,0,0.0,,15237.5
DSS-00084,13,0.0,108074.0,1,108074.0,0.0,216648.0
DSS-00085,3,3373.0,0.0,0,0.0,,8432.5
DSS-00086,11,5444.0,24526.0,0,20381.6,4.0,58517.6
DSS-00087,10,0.0,35702.0,2,35702.0,0.0,72404.0
DSS-00088,0,0.0,0.0,0,0.0,,0.0
DSS-00089,0,0.0,0.0,0,0.0,,0.0
DSS-00090,4,2131.0,8171.0,3,8171.0,0.0,23169.5
DSS-00091,0,0.0,0.0,0,0.0,,0.0
DSS-00092,7,18677.0,15538.0,2,15538.0,0.0,78768.5
DSS-00093,2,2654.0,0.0,0,0.0,,6635.0
DSS-00094,7,9680.0,0.0,1,0.0,,24700.0
DSS-00095,2,4805.0,0.0,1,0.0,,12512.5
DSS-00096,9,10069.0,11305.0,1,11305.0,0.0,48282.5
DSS-00097,1,7729.0,0.0,0,0.0,,19322.5
DSS-00098,1,0.0,31187.0,0,31187.0,0.0,62374.0
DSS-00099,0,0.0,0.0,0,0.0,,0.0
DSS-00100,5,5205.0,13784.0,1,4824.4,8.0,32120.9
DSS-00101,3,0.0,12104.0,0,12104.0,0.0,24208.0
DSS-00102,23,12474.0,65320.0,2,65320.0,0.0,162825.0
DSS-00103,9,6458.0,31983.0,5,19705.8,4.0,70333.8
DSS-00104,3,3680.0,0.0,1,0.0,,9700.0
DSS-00105,5,13039.0,47711.0,3,47711.0,0.0,129519.5
DSS-00106,3,1845.0,0.0,0,0.0,8.0,4612.5
DSS-00107,12,3237.0,8922.0,1,3122.7,12.0,20637.2
DSS-00108,16,22167.0,75362.0,3,75362.0,0.0,207641.5
DSS-00109,7,0.0,10065.0,0,10065.0,0.0,20130.0
DSS-00110,9,0.0,169376.0,2,169376.0,0.0,339752.0
DSS-00111,6,2838.0,48113.0,3,28185.3,4.0,84893.3
DSS-00112,10,5730.0,7075.0,0,2476.2,24.0,23876.2
DSS-00113,13,6334.0,8150.0,2,8150.0,0.0,33135.0
DSS-00114,2,20602.0,0.0,0,0.0,,51505.0
DSS-00115,4,3285.0,26481.0,1,26481.0,0.0,61674.5
DSS-00116,1,5990.0,0.0,0,0.0,,14975.0
DSS-00117,7,12157.0,0.0,0,0.0,,30392.5
DSS-00118,3,5268.0,0.0,0,0.0,,13170.0
DSS-00119,8,1925.0,71094.0,0,60216.2,16.0,136122.7
DSS-00120,13,6953.0,23926.0,1,23926.0,0.0,65734.5
DSS-00121,1,3403.0,0.0,0,0.0,,8507.5
DSS-00122,4,0.0,30216.0,2,30216.0,0.0,61432.0
DSS-00123,0,0.0,0.0,0,0.0,,0.0
DSS-00124,4,6058.0,0.0,1,0.0,,15645.0
DSS-00125,10,9752.0,0.0,2,0.0,,25380.0
DSS-00126,2,4571.0,0.0,1,0.0,,11927.5
DSS-00127,11,17792.0,51362.0,0,30927.9,12.0,126769.9
DSS-00128,3,17592.0,0.0,1,0.0,,44480.0
DSS-00129,1,2208.0,0.0,0,0.0,,5520.0
DSS-00130,1,12064.0,0.0,2,0.0,,31160.0
DSS-00131,6,4323.0,8156.0,0,8156.0,0.0,27119.5
DSS-00132,23,4020.0,82967.0,2,44137.9,9.0,138154.9
DSS-00133,0,0.0,0.0,0,0.0,,0.0
DSS-00134,10,0.0,139373.0,3,78904.1,4.0,219777.1
DSS-00135,5,4861.0,20426.0,1,7149.1,12.0,40227.6
DSS-00136,9,2470.0,3998.0,0,3998.0,0.0,14171.0
DSS-00137,9,1745.0,21017.0,0,21017.0,0.0,46396.5
DSS-00138,5,2867.0,0.0,0,0.0,,7167.5
DSS-00139,5,18042.0,20625.0,5,7218.7,48.0,75448.7
DSS-00140,36,23421.0,246543.0,10,205452.0,4.0,515547.5
DSS-00141,3,14376.0,0.0,1,0.0,,36440.0
DSS-00142,15,8870.0,36772.0,2,36772.0,0.0,96719.0
DSS-00143,2,23055.0,0.0,1,0.0,,58137.5
DSS-00144,16,8739.0,60559.0,1,39090.2,6.0,121996.7
DSS-00145,0,0.0,0.0,0,0.0,,0.0
DSS-00146,3,3156.0,0.0,1,0.0,,8390.0
DSS-00147,7,3659.0,8714.0,1,8714.0,0.0,27075.5
DSS-00148,20,8280.0,29363.0,0,29363.0,0.0,79426.0
DSS-00149,8,7346.0,44816.0,1,15685.6,8.0,79366.6
DSS-00150,5,0.0,15846.0,0,15846.0,0.0,31692.0
DSS-00151,4,20101.0,0.0,1,0.0,,50752.5
DSS-00152,15,17998.0,16331.0,1,16331.0,0.0,78157.0
DSS-00153,5,6515.0,23702.0,3,23702.0,0.0,65191.5
DSS-00154,0,0.0,0.0,0,0.0,,0.0
DSS-00155,9,6588.0,41895.0,1,34644.2,24.0,93509.2
DSS-00156,6,1018.0,8880.0,0,3108.0,24.0,14533.0
DSS-00157,3,0.0,10712.0,0,10712.0,0.0,21424.0
DSS-00158,10,1327.0,17925.0,1,17925.0,0.0,39667.5
DSS-00159,7,8212.0,21826.0,0,21826.0,0.0,64182.0
DSS-00160,1,6668.0,0.0,0,0.0,,16670.0
DSS-00161,11,7680.0,107815.0,2,107815.0,0.0,235830.0
DSS-00162,0,0.0,0.0,0,0.0,,0.0
DSS-00163,3,0.0,10231.0,0,10231.0,0.0,20462.0
DSS-00164,2,14498.0,0.0,1,0.0,,36745.0
DSS-00165,2,5812.0,0.0,0,0.0,,14530.0
DSS-00166,0,0.0,0.0,0,0.0,,0.0
DSS-00167,9,13053.0,85467.0,1,85467.0,0.0,204066.5
DSS-00168,15,68188.0,111075.0,10,66013.8,4.0,352558.8
DSS-00169,10,0.0,71918.0,1,71918.0,0.0,144336.0
DSS-00170,4,17432.0,0.0,1,0.0,,44080.0
DSS-00171,3,3808.0,0.0,1,0.0,,10020.0
DSS-00172,2,10269.0,0.0,0,0.0,,25672.5
DSS-00173,6,18573.0,0.0,3,0.0,,47932.5
DSS-00174,1,8256.0,0.0,1,0.0,,21140.0
DSS-00175,1,16860.0,0.0,2,0.0,,43150.0
DSS-00176,1,4706.0,0.0,1,0.0,,12265.0
DSS-00177,0,0.0,0.0,0,0.0,,0.0
DSS-00178,3,26196.0,0.0,0,0.0,,65490.0
DSS-00179,4,0.0,41843.0,0,41843.0,0.0,83686.0
DSS-00180,7,11276.0,16336.0,2,16336.0,0.0,61862.0
DSS-00181,4,1517.0,8577.0,0,8577.0,0.0,20946.5
DSS-00182,0,0.0,0.0,0,0.0,,0.0
DSS-00183,0,0.0,0.0,0,0.0,,0.0
DSS-00184,7,13810.0,44956.0,0,44956.0,0.0,124437.0
DSS-00185,12,28455.0,133951.0,3,80504.8,12.0,287093.3
DSS-00186,0,0.0,0.0,0,0.0,,0.0
DSS-00187,5,2628.0,11024.0,0,11024.0,0.0,28618.0
DSS-00188,2,6060.0,0.0,1,0.0,,15650.0
DSS-00189,7,9028.0,107027.0,1,107027.0,0.0,237124.0
DSS-00190,7,5640.0,48906.0,1,48906.0,0.0,112412.0
DSS-00191,2,9703.0,0.0,0,0.0,,24257.5
DSS-00192,6,54514.0,49570.0,5,17349.5,8.0,205704.5
DSS-00193,8,1604.0,31355.0,5,18007.9,24.0,55872.9
DSS-00194,6,5748.0,0.0,1,0.0,,14870.0
DSS-00195,6,8248.0,0.0,1,0.0,,21120.0
DSS-00196,0,0.0,0.0,0,0.0,,0.0
DSS-00197,10,2684.0,10154.0,0,3553.9,8.0,20417.9
DSS-00198,2,3453.0,0.0,1,0.0,,9132.5
DSS-00199,11,12164.0,46783.0,2,46783.0,0.0,124976.0
DSS-00200,7,42179.0,55216.0,4,19325.6,8.0,181989.1
DSS-00201,9,39262.0,87079.0,7,87079.0,0.0,275813.0
DSS-00202,21,67235.0,48253.0,5,48253.0,0.0,267093.5
DSS-00203,6,9280.0,0.0,1,0.0,,23700.0
DSS-00204,1,5534.0,0.0,1,0.0,,14335.0
DSS-00205,4,7537.0,69464.0,2,69464.0,0.0,158770.5
DSS-00206,0,0.0,0.0,0,0.0,,0.0
DSS-00207,2,15727.0,0.0,0,0.0,,39317.5
DSS-00208,1,7696.0,0.0,0,0.0,,19240.0
DSS-00209,4,4627.0,13658.0,0,13658.0,0.0,38883.5
DSS-00210,18,7332.0,16606.0,0,16606.0,0.0,51542.0
DSS-00211,1,720.0,0.0,0,0.0,,1800.0
DSS-00212,1,0.0,47913.0,1,47913.0,0.0,96326.0
DSS-00213,6,7635.0,88180.0,2,88180.0,0.0,196447.5
DSS-00214,7,15274.0,0.0,1,0.0,,38685.0
DSS-00215,0,0.0,0.0,0,0.0,,0.0
DSS-00216,10,17991.0,22236.0,1,7782.6,24.0,75496.1
DSS-00217,5,9480.0,38742.0,0,38742.0,0.0,101184.0
DSS-00218,0,0.0,0.0,0,0.0,,0.0
DSS-00219,11,24284.0,34429.0,3,34429.0,0.0,131068.0
DSS-00220,4,29525.0,0.0,4,0.0,,75812.5
DSS-00221,12,114771.0,0.0,9,0.0,,291427.5
DSS-00222,14,45819.0,100361.0,8,76128.4,36.0,295036.9
DSS-00223,16,8609.0,161679.0,6,118493.6,36.0,304695.1
DSS-00224,6,5760.0,26651.0,0,9327.8,48.0,50378.8
DSS-00225,6,0.0,13410.0,1,13410.0,0.0,27320.0
DSS-00226,13,5336.0,73192.0,1,54631.9,2.6666666666666665,141663.9
DSS-00227,14,17366.0,93582.0,2,85175.6,2.6666666666666665,223172.6
DSS-00228,8,3728.0,13375.0,0,4681.2,12.0,27376.2
DSS-00229,8,1856.0,6746.0,0,6746.0,0.0,18132.0
DSS-00230,6,25878.0,0.0,1,0.0,,65195.0
DSS-00231,11,11496.0,103379.0,0,103379.0,0.0,235498.0
DSS-00232,5,2450.0,7261.0,1,7261.0,0.0,21147.0
DSS-00233,4,0.0,9119.0,0,9119.0,0.0,18238.0
DSS-00234,7,10334.0,13524.0,1,13524.0,0.0,53383.0
DSS-00235,4,0.0,19776.0,1,19776.0,0.0,40052.0
DSS-00236,5,0.0,10072.0,0,10072.0,0.0,20144.0
DSS-00237,17,20175.0,71693.0,1,62077.6,4.0,184708.1
DSS-00238,16,30064.0,138274.0,2,83600.6,6.0,298034.6
DSS-00239,1,2931.0,0.0,0,0.0,,7327.5
DSS-00240,2,1766.0,0.0,0,0.0,,4415.0
DSS-00241,0,0.0,0.0,0,0.0,,0.0
DSS-00242,8,14528.0,52032.0,0,52032.0,0.0,140384.0
DSS-00243,0,0.0,0.0,0,0.0,,0.0
DSS-00244,8,21259.0,30376.0,4,30376.0,0.0,115899.5
DSS-00245,2,4766.0,0.0,0,0.0,,11915.0
DSS-00246,11,18829.0,34235.0,4,34235.0,0.0,117542.5
DSS-00247,8,4653.0,56678.0,2,56678.0,0.0,125988.5
DSS-00248,4,21190.0,0.0,0,0.0,,52975.0
DSS-00249,6,6839.0,64810.0,0,22683.5,40.0,104591.0
DSS-00250,3,26259.0,0.0,3,0.0,,67147.5
DSS-00251,0,0.0,0.0,0,0.0,,0.0
DSS-00252,6,8705.0,17088.0,0,5980.8,24.0,44831.3
DSS-00253,7,0.0,56947.0,1,39671.3,18.666666666666668,97118.3
DSS-00254,6,0.0,23625.0,0,23625.0,0.0,47250.0
DSS-00255,2,0.0,71859.0,1,71859.0,0.0,144218.0
DSS-00256,22,43738.0,133165.0,9,108898.6,2.0,355908.6
DSS-00257,3,11047.0,0.0,0,0.0,,27617.5
DSS-00258,5,3881.0,14076.0,1,14076.0,0.0,38354.5
DSS-00259,5,0.0,11159.0,0,3905.6,8.0,15064.6
DSS-00260,18,24141.0,108028.0,2,87406.1,2.0,256786.6
DSS-00261,2,5600.0,0.0,0,0.0,,14000.0
DSS-00262,5,2392.0,32305.0,1,32305.0,0.0,71090.0
DSS-00263,3,4592.0,8867.0,0,8867.0,0.0,29214.0
DSS-00264,2,2693.0,0.0,0,0.0,,6732.5
DSS-00265,8,12734.0,15625.0,1,15625.0,0.0,63585.0
DSS-00266,3,2918.0,0.0,0,0.0,,7295.0
DSS-00267,10,2282.0,36732.0,0,26508.2,8.0,68945.2
DSS-00268,10,10342.0,64909.0,3,64909.0,0.0,157173.0
DSS-00269,17,25973.0,39306.0,3,39306.0,0.0,145044.5
DSS-00270,7,29663.0,0.0,5,0.0,,76657.5
DSS-00271,8,2733.0,45962.0,0,45962.0,0.0,98756.5
DSS-00272,7,0.0,20458.0,0,17462.2,6.0,37920.2
DSS-00273,8,26166.0,82490.0,4,82490.0,0.0,232395.0
DSS-00274,8,18327.0,0.0,4,0.0,,47817.5
DSS-00275,6,1632.0,31978.0,1,31978.0,0.0,68536.0
DSS-00276,4,2378.0,13549.0,0,13549.0,0.0,33043.0
DSS-00277,4,13255.0,0.0,3,0.0,,34637.5
DSS-00278,8,2839.0,10709.0,0,10709.0,0.0,28515.5
DSS-00279,2,9746.0,0.0,0,0.0,,24365.0
DSS-00280,3,22771.0,0.0,2,0.0,,57927.5
DSS-00281,12,5861.0,59242.0,2,48312.2,4.0,123206.7
DSS-00282,8,7954.0,40132.0,2,40132.0,0.0,101149.0
DSS-00283,1,3146.0,0.0,0,0.0,,7865.0
DSS-00284,16,8500.0,69301.0,2,69301.0,0.0,160852.0
DSS-00285,2,17150.0,0.0,3,0.0,,44375.0
DSS-00286,106,14729.0,523323.0,8,530241.4,6.0,1094386.9
DSS-00287,3,4614.0,0.0,1,0.0,,12035.0
DSS-00288,2,1344.0,7583.0,0,7583.0,0.0,18526.0
DSS-00289,6,0.0,45451.0,0,45451.0,0.0,90902.0
DSS-00290,13,8256.0,29961.0,0,23654.7,4.0,74255.7
DSS-00291,443,1567.0,3473397.0,61,1220803.9,12.0,4728618.4
DSS-00292,23,21848.0,71250.0,4,60999.5,3.0,188869.5
DSS-00293,7,2744.0,33496.0,0,33496.0,0.0,73852.0
DSS-00294,3,12206.0,0.0,1,0.0,,31015.0
DSS-00295,10,6340.0,11504.0,0,4026.4,12.0,31380.4
DSS-00296,3,0.0,35491.0,2,12421.8,24.0,48912.8
DSS-00297,15,3408.0,42538.0,1,14888.3,32.0,66446.3
DSS-00298,1,2077.0,0.0,0,0.0,,5192.5
DSS-00299,5,1234.0,38100.0,1,38100.0,0.0,79785.0
DSS-00300,4,17174.0,0.0,1,0.0,,43435.0
DSS-00301,0,0.0,0.0,0,0.0,,0.0
DSS-00302,10,3915.0,8147.0,0,8147.0,0.0,26081.5
DSS-00303,0,0.0,0.0,0,0.0,,0.0
DSS-00304,0,0.0,0.0,0,0.0,,0.0
DSS-00305,0,0.0,0.0,0,0.0,,0.0
DSS-00306,8,8163.0,0.0,0,0.0,,20407.5
DSS-00307,7,19569.0,31312.0,2,31312.0,0.0,112546.5
DSS-00308,76,930.0,320195.0,4,115654.3,6.0,440174.3
DSS-00309,11,5079.0,46760.0,0,46760.0,0.0,106217.5
DSS-00310,22,130938.0,157493.0,10,97650.8,6.0,587488.8
DSS-00311,7,13069.0,0.0,2,0.0,,33672.5
DSS-00312,8,0.0,13225.0,0,13225.0,0.0,26450.0
DSS-00313,13,9570.0,20496.0,2,20496.0,0.0,65917.0
DSS-00314,0,0.0,0.0,0,0.0,,0.0
DSS-00315,1,3792.0,0.0,3,0.0,,10980.0
DSS-00316,0,0.0,0.0,0,0.0,,0.0
DSS-00317,3,1552.0,0.0,0,0.0,12.0,3880.0
DSS-00318,10,17916.0,13316.0,2,13316.0,0.0,72422.0
DSS-00319,5,18646.0,0.0,1,0.0,,47115.0
DSS-00320,0,0.0,0.0,0,0.0,,0.0
DSS-00321,5,3635.0,23619.0,0,17666.3,24.0,50372.8
DSS-00322,14,17194.0,68134.0,0,23846.9,18.0,134965.9
DSS-00323,14,39595.0,71070.0,7,71070.0,0.0,244627.5
DSS-00324,5,4653.0,11416.0,0,11416.0,0.0,34464.5
DSS-00325,3,9380.0,0.0,2,0.0,,24450.0
DSS-00326,0,0.0,0.0,0,0.0,,0.0
DSS-00327,4,1233.0,5300.0,1,5300.0,0.0,14182.5
DSS-00328,5,1522.0,4491.0,0,4491.0,0.0,12787.0
DSS-00329,4,11611.0,0.0,4,0.0,,31027.5
DSS-00330,8,7140.0,4360.0,1,4360.0,0.0,27070.0
DSS-00331,1,4027.0,0.0,0,0.0,,10067.5
DSS-00332,15,18198.0,67929.0,3,37323.8,12.0,152247.8
DSS-00333,9,17587.0,24816.0,5,24816.0,0.0,96099.5
DSS-00334,5,15900.0,0.0,3,0.0,,41250.0
DSS-00335,1,3998.0,0.0,1,0.0,,10495.0
DSS-00336,6,11336.0,0.0,0,0.0,,28340.0
DSS-00337,14,2943.0,10091.0,2,10091.0,0.0,28539.5
DSS-00338,10,5365.0,30031.0,1,30031.0,0.0,73974.5
DSS-00339,11,25525.0,22918.0,3,22918.0,0.0,111148.5
DSS-00340,11,5125.0,9088.0,1,9088.0,0.0,31488.5
DSS-00341,0,0.0,0.0,0,0.0,,0.0
DSS-00342,2,8347.0,0.0,1,0.0,,21367.5
DSS-00343,4,30546.0,0.0,2,0.0,,77365.0
DSS-00344,12,2320.0,12463.0,0,12463.0,0.0,30726.0
DSS-00345,2,0.0,15491.0,0,15491.0,0.0,30982.0
DSS-00346,3,6906.0,0.0,1,0.0,,17765.0
DSS-00347,4,2432.0,0.0,1,0.0,0.0,6580.0
DSS-00348,10,10458.0,16434.0,1,16434.0,0.0,59513.0
DSS-00349,8,9541.0,30106.0,2,10537.1,48.0,65495.6
DSS-00350,3,3059.0,0.0,1,0.0,,8147.5
DSS-00351,3,22241.0,0.0,0,0.0,,55602.5
DSS-00352,0,0.0,0.0,0,0.0,,0.0
DSS-00353,191,0.0,1435988.0,24,1435988.0,0.0,2883976.0
DSS-00354,5,4932.0,25330.0,1,18950.2,6.0,57110.2
DSS-00355,1,6350.0,0.0,2,0.0,,16875.0
DSS-00356,1,7105.0,0.0,1,0.0,,18262.5
DSS-00357,23,24354.0,94458.0,2,94458.0,0.0,250801.0
DSS-00358,0,0.0,0.0,0,0.0,,0.0
DSS-00359,6,5167.0,15236.0,1,15236.0,0.0,43889.5
DSS-00360,2,0.0,11277.0,1,3946.9,24.0,15723.9
DSS-00361,2,2674.0,0.0,1,0.0,,7185.0
DSS-00362,5,0.0,28545.0,0,9990.8,8.0,38535.8
DSS-00363,7,4261.0,103249.0,2,55872.4,12.0,170773.9
DSS-00364,15,1738.0,26784.0,1,18016.2,12.0,49645.2
DSS-00365,3,0.0,4689.0,0,4689.0,0.0,9378.0
DSS-00366,7,10335.0,0.0,0,0.0,,25837.5
DSS-00367,366,3927.0,1891708.0,25,1891708.0,0.0,3805733.5
DSS-00368,16,39177.0,46485.0,4,46485.0,0.0,192912.5
DSS-00369,1,933.0,0.0,0,0.0,,2332.5
DSS-00370,9,2110.0,16838.0,0,5893.3,24.0,28006.3
DSS-00371,1,5766.0,0.0,1,0.0,,14915.0
DSS-00372,10,10402.0,37439.0,4,24484.5,6.0,89928.5
DSS-00373,24,0.0,50514.0,2,54789.9,12.0,106303.9
DSS-00374,2,5710.0,0.0,0,0.0,,14275.0
DSS-00375,1,1208.0,0.0,0,0.0,,3020.0
DSS-00376,2,9796.0,0.0,0,0.0,,24490.0
DSS-00377,0,0.0,0.0,0,0.0,,0.0
DSS-00378,3,26156.0,0.0,1,0.0,,65890.0
DSS-00379,3,14057.0,0.0,0,0.0,,35142.5
DSS-00380,14,25467.0,72659.0,4,72659.0,0.0,210985.5
DSS-00381,7,0.0,35986.0,1,35986.0,0.0,72472.0
DSS-00382,1,999.0,0.0,0,0.0,,2497.5
DSS-00383,2,1278.0,0.0,0,0.0,,3195.0
DSS-00384,1,3270.0,0.0,0,0.0,,8175.0
DSS-00385,9,43843.0,56110.0,5,56110.0,0.0,224327.5
DSS-00386,2,0.0,45709.0,0,45709.0,0.0,91418.0
DSS-00387,8,39473.0,26788.0,2,26788.0,0.0,153258.5
DSS-00388,4,1837.0,9068.0,0,3173.8,8.0,16834.3
DSS-00389,0,0.0,0.0,0,0.0,,0.0
DSS-00390,4,6270.0,11643.0,2,11643.0,0.0,39961.0
DSS-00391,1,2461.0,0.0,0,0.0,,6152.5
DSS-00392,8,8751.0,18774.0,0,18774.0,0.0,59425.5
DSS-00393,6,5942.0,6938.0,0,6938.0,0.0,28731.0
DSS-00394,3,2775.0,5058.0,0,5058.0,0.0,17053.5
DSS-00395,8,3129.0,13682.0,1,13682.0,0.0,35686.5
DSS-00396,3,14567.0,0.0,1,0.0,,36917.5
DSS-00397,2,18889.0,0.0,2,0.0,,48222.5
DSS-00398,3,16481.0,0.0,0,0.0,,41202.5
DSS-00399,6,5007.0,7799.0,1,7799.0,0.0,28615.5
DSS-00400,1,1165.0,0.0,0,0.0,,2912.5
DSS-00401,0,0.0,0.0,0,0.0,,0.0
DSS-00402,13,4678.0,10686.0,2,3740.1,72.0,27121.1
DSS-00403,4,14226.0,37226.0,1,37226.0,0.0,110517.0
DSS-00404,0,0.0,0.0,0,0.0,,0.0
DSS-00405,10,4028.0,156216.0,3,79101.3,16.0,246887.3
DSS-00406,15,7764.0,93416.0,4,93416.0,0.0,208242.0
DSS-00407,15,24320.0,30917.0,5,10820.9,72.0,105037.9
DSS-00408,8,8868.0,5553.0,1,5553.0,0.0,33776.0
DSS-00409,1,2315.0,0.0,0,0.0,,5787.5
DSS-00410,72,11045.0,310390.0,5,327650.0,0.0,668152.5
TLS-00411,0,0.0,0.0,0,0.0,,0.0
TLS-00412,0,0.0,0.0,0,0.0,,0.0
TLS-00413,0,0.0,0.0,0,0.0,,0.0
TLS-00414,0,0.0,0.0,0,0.0,,0.0
TLS-00415,0,0.0,0.0,0,0.0,,0.0
TLS-00416,0,0.0,0.0,0,0.0,,0.0
TLS-00417,0,0.0,0.0,0,0.0,,0.0
TLS-00418,0,0.0,0.0,0,0.0,,0.0
TLS-00419,0,0.0,0.0,0,0.0,,0.0
TLS-00420,0,0.0,0.0,0,0.0,,0.0
TLS-00421,0,0.0,0.0,0,0.0,,0.0
TLS-00422,0,0.0,0.0,0,0.0,,0.0
TLS-00423,0,0.0,0.0,0,0.0,,0.0
TLS-00424,0,0.0,0.0,0,0.0,,0.0
TLS-00425,0,0.0,0.0,0,0.0,,0.0
TLS-00426,0,0.0,0.0,0,0.0,,0.0
TLS-00427,0,0.0,0.0,0,0.0,,0.0
TLS-00428,0,0.0,0.0,0,0.0,,0.0
TLS-00429,0,0.0,0.0,0,0.0,,0.0
TLS-00430,0,0.0,0.0,0,0.0,,0.0
TLS-00431,0,0.0,0.0,0,0.0,,0.0
TLS-00432,0,0.0,0.0,0,0.0,,0.0
TLS-00433,0,0.0,0.0,0,0.0,,0.0
TLS-00434,0,0.0,0.0,0,0.0,,0.0
