asset_id,timestamp,scenario_id,failure_type,work_order_type,raised_at,cost_usd,work_order_id,material_as_recorded,timestamp_quality
WMN-03274,2023-08-15 00:00:00,,,inspection,2023-08-15 00:00:00,1902.27,WO-0000058,cast_iron,as_occurred
WMN-03234,2023-08-15 00:00:00,,,inspection,2023-08-15 00:00:00,699.54,WO-0000059,cast_iron,as_occurred
PMP-02446,2023-08-15 00:00:00,,,vegetation,2023-08-15 00:00:00,215.66,WO-0000060,standard,as_occurred
TLS-01285,2023-08-15 00:00:00,,,routine,2023-08-15 00:00:00,310.09,WO-0000061,steel_lattice,as_occurred
TLS-00503,2023-08-15 00:00:00,,,inspection,2023-08-15 00:00:00,799.88,WO-0000062,steel_lattice,as_occurred
WMN-02849,2023-08-15 00:00:00,,,inspection,2023-08-15 00:00:00,595.93,WO-0000063,ductile_iron,as_occurred
WMN-02742,2023-08-15 00:00:00,,,inspection,2023-08-15 00:00:00,1780.47,WO-0000064,cast-iron,as_occurred
DFR-01883,2023-08-16 00:00:00,,,inspection,2023-08-16 00:00:00,1374.36,WO-0000065,underground,as_occurred
LEGACY-045076,2023-08-16 00:00:00,,,routine,2023-08-16 00:00:00,1300.36,WO-0000066,,as_occurred
WMN-02857,2023-08-16 00:00:00,,,routine,2023-08-19 00:00:00,637.79,WO-0000067,cast_iron,reported_late
TLS-01026,2023-08-16 00:00:00,,,routine,2023-08-16 00:00:00,1469.16,WO-0000068,concrete,as_occurred
TLS-00737,2023-08-16 00:00:00,,,routine,2023-08-16 00:00:00,2177.58,WO-0000069,steel_monopole,as_occurred
DSS-00328,2023-08-16 00:00:00,,,inspection,2023-08-19 00:00:00,440.64,WO-0000070,standard,reported_late
TLS-01306,2023-08-16 00:00:00,,,routine,2023-08-16 00:00:00,512.62,WO-0000071,concrete,as_occurred
DFR-01664,2023-08-16 00:00:00,,,routine,2023-08-16 00:00:00,2985.62,WO-0000072,wood_pole,as_occurred
DSS-00220,2023-08-17 00:00:00,,,routine,2023-08-17 00:00:00,1807.49,WO-0000073,standard,as_occurred
DFR-01930,2023-08-17 00:00:00,,,vegetation,2023-08-17 00:00:00,159.79,WO-0000074,wood_pole,as_occurred
WMN-03124,2023-08-17 00:00:00,,,inspection,2023-08-17 00:00:00,624.29,WO-0000075,cast-iron,as_occurred
DFR-01749,2023-08-17 00:00:00,,,inspection,2023-08-17 00:00:00,595.23,WO-0000076,wood_pole,as_occurred
DFR-01662,2023-08-18 00:00:00,,,vegetation,2023-08-18 00:00:00,434.72,WO-0000077,underground,as_occurred
DFR-01334,2023-08-18 00:00:00,,,routine,2023-08-18 00:00:00,388.22,WO-0000078,WOOD POLE,as_occurred
WMN-03151,2023-08-18 00:00:00,,,routine,2023-08-18 00:00:00,683.72,WO-0000079,ductile_iron,as_occurred
RCL-02106,2023-08-18 00:00:00,,,routine,2023-08-18 00:00:00,257.08,WO-0000080,standard,as_occurred
WMN-02765,2023-08-18 00:00:00,,,routine,2023-08-18 00:00:00,706.83,WO-0000081,ductile_iron,as_occurred
RCL-02077,2023-08-18 00:00:00,,,routine,2023-08-18 00:00:00,603.5,WO-0000082,standard,as_occurred
WMN-03115,2023-08-19 00:00:00,,,inspection,2023-08-19 00:00:00,342.1,WO-0000083,cast_iron,as_occurred
TNK-02547,2023-08-19 00:00:00,,,vegetation,2023-08-19 00:00:00,358.88,WO-0000084,standard,as_occurred
WMN-02947,2023-08-19 00:00:00,,,routine,2023-08-22 00:00:00,635.84,WO-0000085,P.V.C.,reported_late
DFR-01378,2023-08-19 00:00:00,,,vegetation,2023-08-19 00:00:00,301.35,WO-0000086,wood_pole,as_occurred
PMP-02292,2023-08-19 00:00:00,,,routine,2023-08-19 00:00:00,258.92,WO-0000087,standard,as_occurred
DSS-00118,2023-08-19 00:00:00,,,inspection,2023-08-19 00:00:00,434.89,WO-0000088,standard,as_occurred
DFR-01385,2023-08-20 00:00:00,,,inspection,2023-08-20 00:00:00,162.49,WO-0000089,Wood,as_occurred
DFR-01874,2023-08-20 00:00:00,,,inspection,2023-08-23 00:00:00,1229.53,WO-0000090,timber,reported_late
TLS-01298,2023-08-20 00:00:00,,,routine,2023-08-20 00:00:00,362.22,WO-0000091,steel_monopole,as_occurred
DFR-01609,2023-08-20 00:00:00,,,routine,2023-08-20 00:00:00,1781.24,WO-0000092,underground,as_occurred
TLS-01307,2023-08-20 00:00:00,,,inspection,2023-08-20 00:00:00,758.27,WO-0000093,steel_lattice,as_occurred
WMN-02992,2023-08-20 00:00:00,,,routine,2023-08-20 00:00:00,508.11,WO-0000094,ductile_iron,as_occurred
DFR-01927,2023-08-20 00:00:00,,,inspection,2023-08-20 00:00:00,1061.9,WO-0000095,wood_pole,as_occurred
TLS-01127,2023-08-20 00:00:00,,,inspection,2023-08-20 00:00:00,875.85,WO-0000096,steel_monopole,as_occurred
WMN-02913,2023-08-21 00:00:00,,,routine,2023-08-21 00:00:00,447.76,WO-0000097,ductile_iron,as_occurred
TLS-00741,2023-08-21 00:00:00,,,vegetation,2023-08-21 00:00:00,777.74,WO-0000098,steel_lattice,as_occurred
TLS-00838,2023-08-21 00:00:00,,,routine,2023-08-21 00:00:00,1184.64,WO-0000099,steel_lattice,as_occurred
RCL-02052,2023-08-21 00:00:00,,,routine,2023-08-21 00:00:00,276.89,WO-0000100,standard,as_occurred
TLS-00707,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,1552.4,WO-0000101,concrete,as_occurred
TLS-01277,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,2628.01,WO-0000102,steel_lattice,as_occurred
WMN-02793,2023-08-22 00:00:00,,,vegetation,2023-08-25 00:00:00,1903.61,WO-0000103,cast_iron,reported_late
DSS-00185,2023-08-22 00:00:00,,,inspection,2023-08-22 00:00:00,1362.26,WO-0000104,standard,as_occurred
INT-03504,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,503.31,WO-0000105,standard,as_occurred
DFR-01940,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,1296.96,WO-0000106,timber,as_occurred
DFR-01394,2023-08-22 00:00:00,,,inspection,2023-08-22 00:00:00,261.04,WO-0000107,wood_pole,as_occurred
TLS-00673,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,542.9,WO-0000108,steel_lattice,as_occurred
PMP-02320,2023-08-22 00:00:00,,,routine,2023-08-22 00:00:00,414.06,WO-0000109,standard,as_occurred
DSS-00222,2023-08-23 00:00:00,,,routine,2023-08-23 00:00:00,506.77,WO-0000110,standard,as_occurred
RCL-02046,2023-08-23 00:00:00,,,routine,2023-08-23 00:00:00,461.02,WO-0000111,standard,as_occurred
WMN-02890,2023-08-23 00:00:00,,,routine,2023-08-23 00:00:00,736.65,WO-0000112,ductile_iron,as_occurred
WMN-03465,2023-08-24 00:00:00,,,inspection,2023-08-24 00:00:00,838.96,WO-0000113,PVC,as_occurred
TLS-01210,2023-08-24 00:00:00,,,inspection,2023-08-24 00:00:00,950.43,WO-0000114,steel_monopole,as_occurred
DFR-01517,2023-08-24 00:00:00,,,routine,2023-08-24 00:00:00,817.07,WO-0000115,wood_pole,as_occurred
RCL-02162,2023-08-24 00:00:00,,,routine,2023-08-24 00:00:00,1087.69,WO-0000116,standard,as_occurred
DFR-01377,2023-08-24 00:00:00,,,inspection,2023-08-24 00:00:00,581.85,WO-0000117,Wood,as_occurred
WMN-02882,2023-08-24 00:00:00,,,vegetation,2023-08-24 00:00:00,3284.08,WO-0000118,steel,as_occurred
DFR-01895,2023-08-25 00:00:00,,,vegetation,2023-08-25 00:00:00,606.89,WO-0000119,composite_pole,as_occurred
TLS-01223,2023-08-25 00:00:00,,,vegetation,2023-08-25 00:00:00,167.28,WO-0000120,steel_lattice,as_occurred
WMN-03013,2023-08-25 00:00:00,,,routine,2023-08-25 00:00:00,451.79,WO-0000121,cast_iron,as_occurred
TLS-01010,2023-08-25 00:00:00,,,routine,2023-08-25 00:00:00,745.05,WO-0000122,steel_lattice,as_occurred
DFR-01697,2023-08-25 00:00:00,,,inspection,2023-08-25 00:00:00,239.05,WO-0000123,wood_pole,as_occurred
DFR-01343,2023-08-25 00:00:00,,,routine,2023-08-25 00:00:00,2442.99,WO-0000124,wood_pole,as_occurred
TLS-00578,2023-08-25 00:00:00,,,routine,2023-08-25 00:00:00,540.42,WO-0000125,steel_lattice,as_occurred
TLS-01231,2023-08-26 00:00:00,,,routine,2023-08-26 00:00:00,488.41,WO-0000126,steel_lattice,as_occurred
WMN-02914,2023-08-26 00:00:00,,,inspection,2023-08-26 00:00:00,195.03,WO-0000127,P.V.C.,as_occurred
DFR-01772,2023-08-26 00:00:00,BASE-20230826-021,physical,corrective,2023-08-26 00:00:00,5287.11,WO-0000128,wood_pole,as_occurred
DSS-00397,2023-08-26 00:00:00,,,vegetation,2023-08-29 00:00:00,3321.16,WO-0000129,standard,reported_late
LEGACY-083075,2023-08-26 00:00:00,,,vegetation,2023-08-26 00:00:00,654.03,WO-0000130,,as_occurred
WMN-03102,2023-08-26 06:00:00,BASE-20230826-021,physical,corrective,2023-08-26 06:00:00,3612.25,WO-0000131,CAST IRON,as_occurred
DFR-01579,2023-08-26 06:00:00,BASE-20230826-021,physical,corrective,2023-08-26 06:00:00,2485.69,WO-0000132,wood_pole,as_occurred
LEGACY-094559,2023-08-26 18:00:00,BASE-20230826-021,physical,corrective,2023-08-26 18:00:00,9140.63,WO-0000133,,as_occurred
DFR-01686,2023-08-26 18:00:00,BASE-20230826-021,physical,corrective,2023-08-26 18:00:00,8208.62,WO-0000134,concrete_pole,as_occurred
WMN-03398,2023-08-27 00:00:00,,,inspection,2023-08-27 00:00:00,476.41,WO-0000135,ductile_iron,as_occurred
TNK-02641,2023-08-27 00:00:00,,,inspection,2023-08-27 00:00:00,221.38,WO-0000136,standard,as_occurred
DFR-01832,2023-08-27 00:00:00,,,routine,2023-08-27 00:00:00,575.35,WO-0000137,wood_pole,as_occurred
DFR-01819,2023-08-27 00:00:00,,,routine,2023-08-27 00:00:00,850.85,WO-0000138,concrete_pole,as_occurred
DFR-01537,2023-08-27 00:00:00,,,vegetation,2023-08-27 00:00:00,634.6,WO-0000139,wood_pole,as_occurred
DFR-01458,2023-08-27 00:00:00,,,routine,2023-08-27 00:00:00,409.09,WO-0000140,wood_pole,as_occurred
DFR-01411,2023-08-28 00:00:00,,,vegetation,2023-08-28 00:00:00,366.59,WO-0000141,composite_pole,as_occurred
RCL-02165,2023-08-28 00:00:00,,,vegetation,2023-08-28 00:00:00,507.22,WO-0000142,standard,as_occurred
RCL-02132,2023-08-28 00:00:00,,,routine,2023-08-28 00:00:00,974.64,WO-0000143,standard,as_occurred
INT-03489,2023-08-28 00:00:00,,,inspection,2023-08-28 00:00:00,294.77,WO-0000144,standard,as_occurred
TLS-00870,2023-08-28 00:00:00,,,inspection,2023-08-28 00:00:00,1985.72,WO-0000145,steel_lattice,as_occurred
TLS-01142,2023-08-28 00:00:00,,,routine,2023-08-28 00:00:00,1200.98,WO-0000146,steel_lattice,as_occurred
PMP-02466,2023-08-29 00:00:00,,,routine,2023-08-29 00:00:00,278.89,WO-0000147,standard,as_occurred
PMP-02340,2023-08-29 00:00:00,,,routine,2023-09-01 00:00:00,595.83,WO-0000148,standard,reported_late
PMP-02426,2023-08-29 00:00:00,,,routine,2023-08-29 00:00:00,805.41,WO-0000149,standard,as_occurred
WMN-02778,2023-08-29 00:00:00,,,inspection,2023-08-29 00:00:00,883.67,WO-0000150,asbestos_cement,as_occurred
WMN-02715,2023-08-30 00:00:00,,,vegetation,2023-08-30 00:00:00,6714.34,WO-0000151,pvc,as_occurred
TLS-00480,2023-08-30 00:00:00,,,routine,2023-09-02 00:00:00,892.26,WO-0000152,steel_monopole,reported_late
WMN-02979,2023-08-30 00:00:00,,,inspection,2023-08-30 00:00:00,623.35,WO-0000153,ductile_iron,as_occurred
TSS-00041,2023-08-30 00:00:00,,,routine,2023-08-30 00:00:00,761.07,WO-0000154,standard,as_occurred
RCL-02178,2023-08-30 00:00:00,,,inspection,2023-08-30 00:00:00,343.04,WO-0000155,standard,as_occurred
DFR-01553,2023-08-30 00:00:00,,,routine,2023-08-30 00:00:00,409.71,WO-0000156,wood_pole,as_occurred
WMN-02752,2023-08-30 00:00:00,,,routine,2023-08-30 00:00:00,516.41,WO-0000157,DI,as_occurred
TSS-00015,2023-08-30 00:00:00,,,vegetation,2023-08-30 00:00:00,1515.67,WO-0000158,standard,as_occurred
DSS-00409,2023-08-31 00:00:00,,,inspection,2023-08-31 00:00:00,899.29,WO-0000159,standard,as_occurred
TLS-00730,2023-08-31 00:00:00,,,inspection,2023-08-31 00:00:00,1224.41,WO-0000160,steel_monopole,as_occurred
DFR-01448,2023-08-31 00:00:00,,,inspection,2023-08-31 00:00:00,1013.42,WO-0000161,wood_pole,as_occurred
PMP-02297,2023-08-31 00:00:00,,,inspection,2023-08-31 00:00:00,355.42,WO-0000162,standard,as_occurred
WMN-03359,2023-08-31 00:00:00,,,vegetation,2023-08-31 00:00:00,742.83,WO-0000163,ductile_iron,as_occurred
TLS-00637,2023-08-31 00:00:00,,,routine,2023-08-31 00:00:00,2446.75,WO-0000164,steel_monopole,as_occurred
TLS-01308,2023-08-31 00:00:00,,,vegetation,2023-08-31 00:00:00,536.34,WO-0000165,concrete,as_occurred
WMN-03017,2023-08-31 00:00:00,,,routine,2023-08-31 00:00:00,1800.82,WO-0000166,cast-iron,as_occurred
TLS-00734,2023-08-31 00:00:00,,,routine,2023-08-31 00:00:00,1220.4,WO-0000167,steel_lattice,as_occurred
PMP-02449,2023-08-31 00:00:00,,,routine,2023-08-31 00:00:00,1404.02,WO-0000168,standard,as_occurred
TLS-00456,2023-09-01 00:00:00,,,vegetation,2023-09-01 00:00:00,2476.48,WO-0000169,steel_lattice,as_occurred
DFR-01343,2023-09-01 00:00:00,,,routine,2023-09-01 00:00:00,329.47,WO-0000170,wood_pole,as_occurred
RCL-02171,2023-09-02 00:00:00,,,inspection,2023-09-02 00:00:00,1199.29,WO-0000171,standard,as_occurred
TSS-00040,2023-09-02 00:00:00,,,routine,2023-09-02 00:00:00,579.09,WO-0000172,standard,as_occurred
LEGACY-096731,2023-09-02 00:00:00,,,inspection,2023-09-05 00:00:00,2143.37,WO-0000173,,reported_late
PMP-02268,2023-09-02 00:00:00,,,inspection,2023-09-02 00:00:00,627.53,WO-0000174,standard,as_occurred
RCL-02168,2023-09-02 00:00:00,,,routine,2023-09-02 00:00:00,867.19,WO-0000175,standard,as_occurred
TNK-02617,2023-09-02 00:00:00,,,routine,2023-09-02 00:00:00,842.73,WO-0000176,standard,as_occurred
TNK-02594,2023-09-02 00:00:00,,,routine,2023-09-02 00:00:00,1613.72,WO-0000177,standard,as_occurred
PMP-02317,2023-09-02 00:00:00,,,inspection,2023-09-05 00:00:00,597.69,WO-0000178,standard,reported_late
DFR-01693,2023-09-02 00:00:00,,,inspection,2023-09-02 00:00:00,1087.52,WO-0000179,wood_pole,as_occurred
RCL-02057,2023-09-03 00:00:00,,,routine,2023-09-03 00:00:00,437.65,WO-0000180,standard,as_occurred
PMP-02268,2023-09-03 00:00:00,,,routine,2023-09-03 00:00:00,708.79,WO-0000181,standard,as_occurred
RCL-02168,2023-09-03 00:00:00,,,routine,2023-09-03 00:00:00,1534.38,WO-0000182,standard,as_occurred
WMN-02849,2023-09-03 00:00:00,,,vegetation,2023-09-03 00:00:00,546.11,WO-0000183,ductile_iron,as_occurred
DFR-01339,2023-09-03 00:00:00,,,inspection,2023-09-03 00:00:00,1171.97,WO-0000184,concrete_pole,as_occurred
TLS-00445,2023-09-03 00:00:00,,,routine,2023-09-03 00:00:00,449.63,WO-0000185,steel_lattice,as_occurred
TNK-02555,2023-09-03 00:00:00,,,vegetation,2023-09-03 00:00:00,1764.79,WO-0000186,standard,as_occurred
WMN-02945,2023-09-04 00:00:00,,,inspection,2023-09-04 00:00:00,160.66,WO-0000187,CAST IRON,as_occurred
DSS-00328,2023-09-04 00:00:00,,,inspection,2023-09-04 00:00:00,413.63,WO-0000188,standard,as_occurred
WMN-02687,2023-09-04 00:00:00,,,vegetation,2023-09-04 00:00:00,401.06,WO-0000189,Cast Iron,as_occurred
WMN-03239,2023-09-04 00:00:00,,,routine,2023-09-04 00:00:00,1327.32,WO-0000190,CI,as_occurred
RCL-02118,2023-09-04 00:00:00,,,routine,2023-09-04 00:00:00,738.82,WO-0000191,standard,as_occurred
WMN-03291,2023-09-05 00:00:00,,,vegetation,2023-09-05 00:00:00,585.62,WO-0000192,ductile_iron,as_occurred
DFR-01509,2023-09-05 00:00:00,,,routine,2023-09-05 00:00:00,254.92,WO-0000193,wood_pole,as_occurred
WMN-02979,2023-09-06 00:00:00,,,routine,2023-09-06 00:00:00,646.88,WO-0000194,ductile_iron,as_occurred
DFR-01749,2023-09-06 00:00:00,,,routine,2023-09-06 00:00:00,2066.44,WO-0000195,wood_pole,as_occurred
WMN-03157,2023-09-06 00:00:00,,,routine,2023-09-06 00:00:00,1548.74,WO-0000196,ductile_iron,as_occurred
WMN-02708,2023-09-06 00:00:00,,,routine,2023-09-06 00:00:00,1080.78,WO-0000197,pvc,as_occurred
DFR-01871,2023-09-07 00:00:00,,,routine,2023-09-07 00:00:00,1246.64,WO-0000198,timber,as_occurred
LEGACY-020619,2023-09-07 00:00:00,,,routine,2023-09-10 00:00:00,797.6,WO-0000199,,reported_late
WMN-02736,2023-09-07 00:00:00,,,inspection,2023-09-07 00:00:00,838.09,WO-0000200,cast_iron,as_occurred
TLS-00790,2023-09-07 00:00:00,,,routine,2023-09-10 00:00:00,767.31,WO-0000201,steel_lattice,reported_late
TLS-00809,2023-09-08 00:00:00,,,routine,2023-09-08 00:00:00,354.67,WO-0000202,steel_lattice,as_occurred
TLS-01187,2023-09-08 00:00:00,,,inspection,2023-09-08 00:00:00,547.62,WO-0000203,steel_monopole,as_occurred
WMN-02814,2023-09-08 00:00:00,,,inspection,2023-09-08 00:00:00,413.4,WO-0000204,cast-iron,as_occurred
DFR-01388,2023-09-09 00:00:00,,,inspection,2023-09-09 00:00:00,759.74,WO-0000205,composite_pole,as_occurred
DFR-01753,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,572.64,WO-0000206,Wood Pole,as_occurred
RCL-02098,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,806.28,WO-0000207,standard,as_occurred
TLS-00885,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,1465.8,WO-0000208,steel_monopole,as_occurred
TLS-00740,2023-09-09 00:00:00,,,inspection,2023-09-09 00:00:00,523.4,WO-0000209,steel_lattice,as_occurred
DFR-01930,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,677.59,WO-0000210,Wood Pole,as_occurred
TLS-01241,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,552.71,WO-0000211,steel_lattice,as_occurred
LEGACY-074257,2023-09-09 00:00:00,,,vegetation,2023-09-09 00:00:00,1213.92,WO-0000212,,as_occurred
TLS-00562,2023-09-09 00:00:00,,,routine,2023-09-09 00:00:00,893.01,WO-0000213,steel_lattice,as_occurred
DSS-00067,2023-09-10 00:00:00,,,vegetation,2023-09-13 00:00:00,1050.72,WO-0000214,standard,reported_late
PMP-02247,2023-09-10 00:00:00,,,inspection,2023-09-10 00:00:00,889.96,WO-0000215,standard,as_occurred
TLS-00789,2023-09-10 00:00:00,,,routine,2023-09-10 00:00:00,1223.27,WO-0000216,steel_lattice,as_occurred
TSS-00049,2023-09-10 00:00:00,,,vegetation,2023-09-10 00:00:00,1566.04,WO-0000217,standard,as_occurred
PMP-02378,2023-09-10 00:00:00,,,inspection,2023-09-10 00:00:00,815.18,WO-0000218,standard,as_occurred
PMP-02455,2023-09-11 00:00:00,,,routine,2023-09-11 00:00:00,1123.9,WO-0000219,standard,as_occurred
LEGACY-099515,2023-09-11 00:00:00,,,inspection,2023-09-11 00:00:00,1405.04,WO-0000220,,as_occurred
TLS-00419,2023-09-11 00:00:00,,,routine,2023-09-11 00:00:00,752.69,WO-0000221,concrete,as_occurred
DFR-01765,2023-09-11 00:00:00,,,routine,2023-09-11 00:00:00,546.03,WO-0000222,concrete_pole,as_occurred
WMN-03061,2023-09-11 00:00:00,,,routine,2023-09-11 00:00:00,685.29,WO-0000223,steel,as_occurred
TLS-00665,2023-09-12 00:00:00,,,inspection,2023-09-12 00:00:00,881.9,WO-0000224,steel_monopole,as_occurred
WMN-02850,2023-09-12 00:00:00,,,vegetation,2023-09-15 00:00:00,621.09,WO-0000225,steel,reported_late
WMN-02988,2023-09-12 00:00:00,,,vegetation,2023-09-12 00:00:00,587.35,WO-0000226,pvc,as_occurred
