source,target,edge_type
TSS-00019,TLS-00642,transmission
TSS-00052,TLS-00643,transmission
TSS-00008,TLS-00644,transmission
TSS-00007,TLS-00645,transmission
TSS-00032,TLS-00646,transmission
TSS-00038,TLS-00647,transmission
TSS-00016,TLS-00648,transmission
TSS-00031,TLS-00649,transmission
TSS-00049,TLS-00650,transmission
TSS-00011,TLS-00651,transmission
TSS-00031,TLS-00652,transmission
TSS-00029,TLS-00653,transmission
TSS-00021,TLS-00654,transmission
TSS-00043,TLS-00655,transmission
TSS-00049,TLS-00656,transmission
TSS-00007,TLS-00657,transmission
TSS-00040,TLS-00658,transmission
TSS-00001,TLS-00659,transmission
TSS-00019,TLS-00660,transmission
TSS-00049,TLS-00661,transmission
TSS-00032,TLS-00662,transmission
TSS-00045,TLS-00663,transmission
TSS-00026,TLS-00664,transmission
TSS-00049,TLS-00665,transmission
TSS-00026,TLS-00666,transmission
TSS-00034,TLS-00667,transmission
TSS-00048,TLS-00668,transmission
TSS-00012,TLS-00669,transmission
TSS-00005,TLS-00670,transmission
TSS-00059,TLS-00671,transmission
TSS-00048,TLS-00672,transmission
TSS-00033,TLS-00673,transmission
TSS-00005,TLS-00674,transmission
TSS-00017,TLS-00675,transmission
TSS-00055,TLS-00676,transmission
TSS-00013,TLS-00677,transmission
TSS-00026,TLS-00678,transmission
TSS-00010,TLS-00679,transmission
TSS-00034,TLS-00680,transmission
TSS-00047,TLS-00681,transmission
TSS-00019,TLS-00682,transmission
TSS-00020,TLS-00683,transmission
TSS-00049,TLS-00684,transmission
TSS-00055,TLS-00685,transmission
TSS-00035,TLS-00686,transmission
TSS-00013,TLS-00687,transmission
TSS-00032,TLS-00688,transmission
TSS-00049,TLS-00689,transmission
TSS-00048,TLS-00690,transmission
TSS-00013,TLS-00691,transmission
TSS-00052,TLS-00692,transmission
TSS-00011,TLS-00693,transmission
TSS-00048,TLS-00694,transmission
TSS-00037,TLS-00695,transmission
TSS-00020,TLS-00696,transmission
TSS-00040,TLS-00697,transmission
TSS-00013,TLS-00698,transmission
TSS-00028,TLS-00699,transmission
TSS-00022,TLS-00700,transmission
TSS-00037,TLS-00701,transmission
TSS-00044,TLS-00702,transmission
TSS-00026,TLS-00703,transmission
TSS-00040,TLS-00704,transmission
TSS-00021,TLS-00705,transmission
TSS-00026,TLS-00706,transmission
TSS-00035,TLS-00707,transmission
TSS-00031,TLS-00708,transmission
TSS-00049,TLS-00709,transmission
TSS-00019,TLS-00710,transmission
TSS-00026,TLS-00711,transmission
TSS-00055,TLS-00712,transmission
TSS-00022,TLS-00713,transmission
TSS-00007,TLS-00714,transmission
TSS-00052,TLS-00715,transmission
TSS-00044,TLS-00716,transmission
TSS-00007,TLS-00717,transmission
TSS-00040,TLS-00718,transmission
TSS-00043,TLS-00719,transmission
TSS-00031,TLS-00720,transmission
TSS-00023,TLS-00721,transmission
TSS-00047,TLS-00722,transmission
TSS-00016,TLS-00723,transmission
TSS-00050,TLS-00724,transmission
TSS-00056,TLS-00725,transmission
TSS-00058,TLS-00726,transmission
TSS-00019,TLS-00727,transmission
TSS-00054,TLS-00728,transmission
TSS-00044,TLS-00729,transmission
TSS-00024,TLS-00730,transmission
TSS-00012,TLS-00731,transmission
TSS-00017,TLS-00732,transmission
TSS-00043,TLS-00733,transmission
TSS-00034,TLS-00734,transmission
TSS-00025,TLS-00735,transmission
TSS-00055,TLS-00736,transmission
TSS-00042,TLS-00737,transmission
TSS-00045,TLS-00738,transmission
TSS-00055,TLS-00739,transmission
TSS-00048,TLS-00740,transmission
TSS-00051,TLS-00741,transmission
TSS-00021,TLS-00742,transmission
TSS-00034,TLS-00743,transmission
TSS-00045,TLS-00744,transmission
TSS-00056,TLS-00745,transmission
TSS-00043,TLS-00746,transmission
TSS-00002,TLS-00747,transmission
TSS-00040,TLS-00748,transmission
TSS-00044,TLS-00749,transmission
TSS-00020,TLS-00750,transmission
TSS-00008,TLS-00751,transmission
TSS-00017,TLS-00752,transmission
TSS-00052,TLS-00753,transmission
TSS-00017,TLS-00754,transmission
TSS-00011,TLS-00755,transmission
TSS-00007,TLS-00756,transmission
TSS-00040,TLS-00757,transmission
TSS-00043,TLS-00758,transmission
TSS-00020,TLS-00759,transmission
TSS-00017,TLS-00760,transmission
TSS-00030,TLS-00761,transmission
TSS-00056,TLS-00762,transmission
TSS-00026,TLS-00763,transmission
TSS-00054,TLS-00764,transmission
TSS-00026,TLS-00765,transmission
TSS-00007,TLS-00766,transmission
TSS-00016,TLS-00767,transmission
TSS-00033,TLS-00768,transmission
TSS-00054,TLS-00769,transmission
TSS-00002,TLS-00770,transmission
TSS-00054,TLS-00771,transmission
TSS-00026,TLS-00772,transmission
TSS-00052,TLS-00773,transmission
TSS-00057,TLS-00774,transmission
TSS-00009,TLS-00775,transmission
TSS-00007,TLS-00776,transmission
TSS-00029,TLS-00777,transmission
TSS-00050,TLS-00778,transmission
TSS-00041,TLS-00779,transmission
TSS-00008,TLS-00780,transmission
TSS-00006,TLS-00781,transmission
TSS-00011,TLS-00782,transmission
TSS-00034,TLS-00783,transmission
TSS-00016,TLS-00784,transmission
TSS-00056,TLS-00785,transmission
TSS-00024,TLS-00786,transmission
TSS-00019,TLS-00787,transmission
TSS-00007,TLS-00788,transmission
TSS-00056,TLS-00789,transmission
TSS-00037,TLS-00790,transmission
TSS-00030,TLS-00791,transmission
TSS-00030,TLS-00792,transmission
TSS-00033,TLS-00793,transmission
TSS-00036,TLS-00794,transmission
TSS-00043,TLS-00795,transmission
TSS-00037,TLS-00796,transmission
TSS-00031,TLS-00797,transmission
TSS-00033,TLS-00798,transmission
TSS-00041,TLS-00799,transmission
TSS-00043,TLS-00800,transmission
TSS-00001,TLS-00801,transmission
TSS-00033,TLS-00802,transmission
TSS-00054,TLS-00803,transmission
TSS-00022,TLS-00804,transmission
TSS-00041,TLS-00805,transmission
TSS-00049,TLS-00806,transmission
TSS-00044,TLS-00807,transmission
TSS-00048,TLS-00808,transmission
TSS-00043,TLS-00809,transmission
TSS-00016,TLS-00810,transmission
TSS-00050,TLS-00811,transmission
TSS-00007,TLS-00812,transmission
TSS-00013,TLS-00813,transmission
TSS-00023,TLS-00814,transmission
TSS-00004,TLS-00815,transmission
TSS-00028,TLS-00816,transmission
TSS-00007,TLS-00817,transmission
TSS-00055,TLS-00818,transmission
TSS-00049,TLS-00819,transmission
TSS-00046,TLS-00820,transmission
TSS-00048,TLS-00821,transmission
TSS-00007,TLS-00822,transmission
TSS-00040,TLS-00823,transmission
TSS-00022,TLS-00824,transmission
TSS-00025,TLS-00825,transmission
TSS-00008,TLS-00826,transmission
TSS-00053,TLS-00827,transmission
TSS-00028,TLS-00828,transmission
TSS-00007,TLS-00829,transmission
TSS-00048,TLS-00830,transmission
TSS-00031,TLS-00831,transmission
TSS-00056,TLS-00832,transmission
TSS-00041,TLS-00833,transmission
TSS-00059,TLS-00834,transmission
TSS-00024,TLS-00835,transmission
TSS-00032,TLS-00836,transmission
TSS-00058,TLS-00837,transmission
TSS-00019,TLS-00838,transmission
TSS-00010,TLS-00839,transmission
TSS-00019,TLS-00840,transmission
TSS-00008,TLS-00841,transmission
TSS-00035,TLS-00842,transmission
TSS-00049,TLS-00843,transmission
TSS-00049,TLS-00844,transmission
TSS-00007,TLS-00845,transmission
TSS-00053,TLS-00846,transmission
TSS-00048,TLS-00847,transmission
TSS-00058,TLS-00848,transmission
TSS-00026,TLS-00849,transmission
TSS-00023,TLS-00850,transmission
TSS-00050,TLS-00851,transmission
TSS-00026,TLS-00852,transmission
TSS-00019,TLS-00853,transmission
TSS-00046,TLS-00854,transmission
TSS-00022,TLS-00855,transmission
TSS-00042,TLS-00856,transmission
TSS-00007,TLS-00857,transmission
TSS-00021,TLS-00858,transmission
TSS-00043,TLS-00859,transmission
TSS-00051,TLS-00860,transmission
TSS-00054,TLS-00861,transmission
TSS-00010,TLS-00862,transmission
TSS-00028,TLS-00863,transmission
TSS-00049,TLS-00864,transmission
TSS-00040,TLS-00865,transmission
TSS-00011,TLS-00866,transmission
TSS-00007,TLS-00867,transmission
TSS-00026,TLS-00868,transmission
TSS-00049,TLS-00869,transmission
TSS-00017,TLS-00870,transmission
TSS-00008,TLS-00871,transmission
TSS-00040,TLS-00872,transmission
TSS-00014,TLS-00873,transmission
TSS-00022,TLS-00874,transmission
TSS-00012,TLS-00875,transmission
TSS-00024,TLS-00876,transmission
TSS-00021,TLS-00877,transmission
TSS-00046,TLS-00878,transmission
TSS-00032,TLS-00879,transmission
TSS-00051,TLS-00880,transmission
TSS-00059,TLS-00881,transmission
TSS-00056,TLS-00882,transmission
TSS-00038,TLS-00883,transmission
TSS-00060,TLS-00884,transmission
TSS-00007,TLS-00885,transmission
TSS-00011,TLS-00886,transmission
TSS-00060,TLS-00887,transmission
TSS-00058,TLS-00888,transmission
TSS-00016,TLS-00889,transmission
TSS-00040,TLS-00890,transmission
TSS-00005,TLS-00891,transmission
TSS-00032,TLS-00892,transmission
TSS-00007,TLS-00893,transmission
TSS-00019,TLS-00894,transmission
TSS-00032,TLS-00895,transmission
TSS-00034,TLS-00896,transmission
TSS-00017,TLS-00897,transmission
TSS-00027,TLS-00898,transmission
TSS-00052,TLS-00899,transmission
TSS-00012,TLS-00900,transmission
TSS-00054,TLS-00901,transmission
TSS-00040,TLS-00902,transmission
TSS-00001,TLS-00903,transmission
TSS-00008,TLS-00904,transmission
TSS-00007,TLS-00905,transmission
TSS-00040,TLS-00906,transmission
TSS-00040,TLS-00907,transmission
TSS-00030,TLS-00908,transmission
TSS-00026,TLS-00909,transmission
TSS-00020,TLS-00910,transmission
TSS-00031,TLS-00911,transmission
TSS-00006,TLS-00912,transmission
TSS-00005,TLS-00913,transmission
TSS-00045,TLS-00914,transmission
TSS-00026,TLS-00915,transmission
TSS-00053,TLS-00916,transmission
TSS-00020,TLS-00917,transmission
TSS-00037,TLS-00918,transmission
TSS-00050,TLS-00919,transmission
TSS-00030,TLS-00920,transmission
TSS-00007,TLS-00921,transmission
TSS-00034,TLS-00922,transmission
TSS-00026,TLS-00923,transmission
TSS-00001,TLS-00924,transmission
TSS-00056,TLS-00925,transmission
TSS-00013,TLS-00926,transmission
TSS-00054,TLS-00927,transmission
TSS-00022,TLS-00928,transmission
TSS-00035,TLS-00929,transmission
TSS-00019,TLS-00930,transmission
TSS-00036,TLS-00931,transmission
TSS-00052,TLS-00932,transmission
TSS-00026,TLS-00933,transmission
TSS-00021,TLS-00934,transmission
TSS-00048,TLS-00935,transmission
TSS-00049,TLS-00936,transmission
TSS-00056,TLS-00937,transmission
TSS-00027,TLS-00938,transmission
TSS-00031,TLS-00939,transmission
TSS-00050,TLS-00940,transmission
TSS-00040,TLS-00941,transmission
TSS-00035,TLS-00942,transmission
TSS-00019,TLS-00943,transmission
TSS-00026,TLS-00944,transmission
TSS-00052,TLS-00945,transmission
TSS-00052,TLS-00946,transmission
TSS-00019,TLS-00947,transmission
TSS-00037,TLS-00948,transmission
TSS-00011,TLS-00949,transmission
TSS-00040,TLS-00950,transmission
TSS-00032,TLS-00951,transmission
TSS-00044,TLS-00952,transmission
TSS-00007,TLS-00953,transmission
TSS-00035,TLS-00954,transmission
TSS-00044,TLS-00955,transmission
TSS-00008,TLS-00956,transmission
TSS-00032,TLS-00957,transmission
TSS-00020,TLS-00958,transmission
TSS-00035,TLS-00959,transmission
TSS-00043,TLS-00960,transmission
TSS-00010,TLS-00961,transmission
TSS-00040,TLS-00962,transmission
TSS-00053,TLS-00963,transmission
TSS-00016,TLS-00964,transmission
TSS-00034,TLS-00965,transmission
TSS-00011,TLS-00966,transmission
TSS-00026,TLS-00967,transmission
TSS-00044,TLS-00968,transmission
TSS-00019,TLS-00969,transmission
TSS-00008,TLS-00970,transmission
TSS-00020,TLS-00971,transmission
TSS-00030,TLS-00972,transmission
TSS-00049,TLS-00973,transmission
TSS-00034,TLS-00974,transmission
TSS-00008,TLS-00975,transmission
TSS-00034,TLS-00976,transmission
TSS-00028,TLS-00977,transmission
TSS-00046,TLS-00978,transmission
TSS-00005,TLS-00979,transmission
TSS-00010,TLS-00980,transmission
TSS-00011,TLS-00981,transmission
TSS-00005,TLS-00982,transmission
TSS-00044,TLS-00983,transmission
TSS-00022,TLS-00984,transmission
TSS-00033,TLS-00985,transmission
TSS-00054,TLS-00986,transmission
TSS-00052,TLS-00987,transmission
TSS-00059,TLS-00988,transmission
TSS-00024,TLS-00989,transmission
TSS-00038,TLS-00990,transmission
TSS-00044,TLS-00991,transmission
TSS-00007,TLS-00992,transmission
TSS-00016,TLS-00993,transmission
TSS-00021,TLS-00994,transmission
TSS-00011,TLS-00995,transmission
TSS-00016,TLS-00996,transmission
TSS-00026,TLS-00997,transmission
TSS-00042,TLS-00998,transmission
TSS-00048,TLS-00999,transmission
TSS-00056,TLS-01000,transmission
TSS-00042,TLS-01001,transmission
TSS-00052,TLS-01002,transmission
TSS-00021,TLS-01003,transmission
TSS-00008,TLS-01004,transmission
TSS-00030,TLS-01005,transmission
TSS-00044,TLS-01006,transmission
TSS-00041,TLS-01007,transmission
TSS-00041,TLS-01008,transmission
TSS-00056,TLS-01009,transmission
TSS-00032,TLS-01010,transmission
TSS-00060,TLS-01011,transmission
TSS-00043,TLS-01012,transmission
TSS-00034,TLS-01013,transmission
TSS-00034,TLS-01014,transmission
TSS-00033,TLS-01015,transmission
TSS-00047,TLS-01016,transmission
TSS-00011,TLS-01017,transmission
TSS-00026,TLS-01018,transmission
TSS-00015,TLS-01019,transmission
TSS-00018,TLS-01020,transmission
TSS-00031,TLS-01021,transmission
TSS-00045,TLS-01022,transmission
TSS-00034,TLS-01023,transmission
TSS-00008,TLS-01024,transmission
TSS-00051,TLS-01025,transmission
TSS-00055,TLS-01026,transmission
TSS-00028,TLS-01027,transmission
TSS-00026,TLS-01028,transmission
TSS-00019,TLS-01029,transmission
TSS-00040,TLS-01030,transmission
TSS-00003,TLS-01031,transmission
TSS-00019,TLS-01032,transmission
TSS-00019,TLS-01033,transmission
TSS-00028,TLS-01034,transmission
TSS-00004,TLS-01035,transmission
TSS-00031,TLS-01036,transmission
TSS-00016,TLS-01037,transmission
TSS-00019,TLS-01038,transmission
TSS-00031,TLS-01039,transmission
TSS-00017,TLS-01040,transmission
TSS-00016,TLS-01041,transmission
TSS-00028,TLS-01042,transmission
TSS-00049,TLS-01043,transmission
TSS-00021,TLS-01044,transmission
TSS-00021,TLS-01045,transmission
TSS-00049,TLS-01046,transmission
TSS-00030,TLS-01047,transmission
TSS-00057,TLS-01048,transmission
TSS-00001,TLS-01049,transmission
TSS-00044,TLS-01050,transmission
TSS-00058,TLS-01051,transmission
TSS-00040,TLS-01052,transmission
TSS-00019,TLS-01053,transmission
TSS-00034,TLS-01054,transmission
TSS-00050,TLS-01055,transmission
TSS-00055,TLS-01056,transmission
TSS-00011,TLS-01057,transmission
TSS-00020,TLS-01058,transmission
TSS-00031,TLS-01059,transmission
TSS-00060,TLS-01060,transmission
TSS-00013,TLS-01061,transmission
TSS-00040,TLS-01062,transmission
TSS-00017,TLS-01063,transmission
TSS-00020,TLS-01064,transmission
TSS-00050,TLS-01065,transmission
TSS-00046,TLS-01066,transmission
TSS-00043,TLS-01067,transmission
TSS-00012,TLS-01068,transmission
TSS-00008,TLS-01069,transmission
TSS-00022,TLS-01070,transmission
TSS-00040,TLS-01071,transmission
TSS-00011,TLS-01072,transmission
TSS-00058,TLS-01073,transmission
TSS-00048,TLS-01074,transmission
TSS-00037,TLS-01075,transmission
TSS-00042,TLS-01076,transmission
TSS-00002,TLS-01077,transmission
TSS-00046,TLS-01078,transmission
TSS-00041,TLS-01079,transmission
TSS-00040,TLS-01080,transmission
TSS-00058,TLS-01081,transmission
TSS-00006,TLS-01082,transmission
TSS-00032,TLS-01083,transmission
TSS-00052,TLS-01084,transmission
TSS-00059,TLS-01085,transmission
TSS-00050,TLS-01086,transmission
TSS-00005,TLS-01087,transmission
TSS-00050,TLS-01088,transmission
TSS-00047,TLS-01089,transmission
TSS-00040,TLS-01090,transmission
TSS-00044,TLS-01091,transmission
TSS-00012,TLS-01092,transmission
TSS-00002,TLS-01093,transmission
TSS-00037,TLS-01094,transmission
TSS-00036,TLS-01095,transmission
TSS-00011,TLS-01096,transmission
TSS-00007,TLS-01097,transmission
TSS-00045,TLS-01098,transmission
TSS-00046,TLS-01099,transmission
TSS-00040,TLS-01100,transmission
TSS-00032,TLS-01101,transmission
TSS-00012,TLS-01102,transmission
TSS-00043,TLS-01103,transmission
TSS-00032,TLS-01104,transmission
TSS-00031,TLS-01105,transmission
TSS-00034,TLS-01106,transmission
TSS-00035,TLS-01107,transmission
TSS-00007,TLS-01108,transmission
TSS-00013,TLS-01109,transmission
TSS-00054,TLS-01110,transmission
TSS-00029,TLS-01111,transmission
TSS-00026,TLS-01112,transmission
TSS-00043,TLS-01113,transmission
TSS-00030,TLS-01114,transmission
TSS-00019,TLS-01115,transmission
TSS-00008,TLS-01116,transmission
TSS-00045,TLS-01117,transmission
TSS-00040,TLS-01118,transmission
TSS-00056,TLS-01119,transmission
TSS-00026,TLS-01120,transmission
TSS-00004,TLS-01121,transmission
TSS-00031,TLS-01122,transmission
TSS-00004,TLS-01123,transmission
TSS-00044,TLS-01124,transmission
TSS-00008,TLS-01125,transmission
TSS-00048,TLS-01126,transmission
TSS-00043,TLS-01127,transmission
TSS-00019,TLS-01128,transmission
TSS-00022,TLS-01129,transmission
TSS-00044,TLS-01130,transmission
TSS-00058,TLS-01131,transmission
TSS-00015,TLS-01132,transmission
TSS-00020,TLS-01133,transmission
TSS-00026,TLS-01134,transmission
TSS-00001,TLS-01135,transmission
TSS-00004,TLS-01136,transmission
TSS-00050,TLS-01137,transmission
TSS-00035,TLS-01138,transmission
TSS-00008,TLS-01139,transmission
TSS-00033,TLS-01140,transmission
TSS-00002,TLS-01141,transmission
TSS-00034,TLS-01142,transmission
TSS-00050,TLS-01143,transmission
TSS-00026,TLS-01144,transmission
TSS-00010,TLS-01145,transmission
TSS-00049,TLS-01146,transmission
TSS-00014,TLS-01147,transmission
TSS-00051,TLS-01148,transmission
TSS-00029,TLS-01149,transmission
TSS-00049,TLS-01150,transmission
TSS-00042,TLS-01151,transmission
TSS-00031,TLS-01152,transmission
TSS-00053,TLS-01153,transmission
TSS-00040,TLS-01154,transmission
TSS-00003,TLS-01155,transmission
TSS-00017,TLS-01156,transmission
TSS-00024,TLS-01157,transmission
TSS-00007,TLS-01158,transmission
TSS-00045,TLS-01159,transmission
TSS-00040,TLS-01160,transmission
TSS-00040,TLS-01161,transmission
TSS-00011,TLS-01162,transmission
TSS-00017,TLS-01163,transmission
TSS-00043,TLS-01164,transmission
TSS-00031,TLS-01165,transmission
TSS-00043,TLS-01166,transmission
TSS-00032,TLS-01167,transmission
TSS-00019,TLS-01168,transmission
TSS-00021,TLS-01169,transmission
TSS-00032,TLS-01170,transmission
TSS-00057,TLS-01171,transmission
TSS-00016,TLS-01172,transmission
TSS-00030,TLS-01173,transmission
TSS-00017,TLS-01174,transmission
TSS-00054,TLS-01175,transmission
TSS-00028,TLS-01176,transmission
TSS-00007,TLS-01177,transmission
TSS-00001,TLS-01178,transmission
TSS-00031,TLS-01179,transmission
TSS-00043,TLS-01180,transmission
TSS-00028,TLS-01181,transmission
TSS-00019,TLS-01182,transmission
TSS-00021,TLS-01183,transmission
TSS-00031,TLS-01184,transmission
TSS-00035,TLS-01185,transmission
TSS-00048,TLS-01186,transmission
