crew_type,home_depot,cost_per_shift_usd,shift_hours,productivity,can_work,crew_id,lead_time_hours
line,DEP-002,4200,12,0.968,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0024,0
line,DEP-006,4200,12,0.863,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0025,0
line,DEP-001,4200,12,1.01,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0026,0
line,DEP-010,4200,12,1.129,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0027,0
line,DEP-010,4200,12,0.85,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0028,0
line,DEP-004,4200,12,0.989,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0029,0
line,DEP-010,4200,12,1.353,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0030,0
line,DEP-012,4200,12,1.057,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0031,0
line,DEP-015,4200,12,0.98,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0032,0
line,DEP-003,4200,12,0.806,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0033,0
line,DEP-002,4200,12,1.16,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0034,0
line,DEP-001,4200,12,1.014,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0035,0
line,DEP-015,4200,12,1.092,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0036,0
line,DEP-012,4200,12,0.638,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0037,0
line,DEP-012,4200,12,1.11,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0038,0
line,DEP-004,4200,12,1.18,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0039,0
line,DEP-006,4200,12,0.983,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0040,0
line,DEP-003,4200,12,1.042,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0041,0
line,DEP-009,4200,12,0.961,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0042,0
line,DEP-015,4200,12,0.895,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0043,0
line,DEP-009,4200,12,0.938,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0044,0
line,DEP-015,4200,12,1.184,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0045,0
line,DEP-011,4200,12,1.15,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0046,0
line,DEP-014,4200,12,1.138,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0047,0
line,DEP-009,4200,12,1.202,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0048,0
line,DEP-004,4200,12,0.982,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0049,0
line,DEP-002,4200,12,0.879,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0050,0
line,DEP-004,4200,12,0.873,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0051,0
line,DEP-003,4200,12,0.951,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0052,0
line,DEP-006,4200,12,1.134,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0053,0
line,DEP-015,4200,12,1.023,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0054,0
line,DEP-011,4200,12,1.106,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0055,0
line,DEP-001,4200,12,1.104,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0056,0
line,DEP-001,4200,12,1.034,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0057,0
line,DEP-007,4200,12,0.984,distribution_feeder;distribution_substation;recloser;transmission_span;transmission_substation,CRW-0058,0
water,DEP-014,3600,12,1.022,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0059,0
water,DEP-006,3600,12,0.85,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0060,0
water,DEP-002,3600,12,1.075,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0061,0
water,DEP-002,3600,12,1.072,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0062,0
water,DEP-009,3600,12,1.086,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0063,0
water,DEP-009,3600,12,0.873,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0064,0
water,DEP-003,3600,12,0.979,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0065,0
water,DEP-013,3600,12,1.033,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0066,0
water,DEP-008,3600,12,0.97,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0067,0
water,DEP-004,3600,12,0.946,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0068,0
water,DEP-005,3600,12,1.083,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0069,0
water,DEP-013,3600,12,1.09,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0070,0
water,DEP-011,3600,12,1.148,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0071,0
water,DEP-007,3600,12,0.91,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0072,0
water,DEP-007,3600,12,1.036,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0073,0
water,DEP-007,3600,12,0.973,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0074,0
water,DEP-014,3600,12,1.17,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0075,0
water,DEP-007,3600,12,0.829,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0076,0
water,DEP-008,3600,12,1.231,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0077,0
water,DEP-010,3600,12,0.871,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0078,0
water,DEP-013,3600,12,1.102,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0079,0
water,DEP-007,3600,12,0.878,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0080,0
water,DEP-002,3600,12,0.962,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0081,0
water,DEP-004,3600,12,0.895,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0082,0
water,DEP-013,3600,12,1.221,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0083,0
water,DEP-006,3600,12,0.851,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0084,0
water,DEP-013,3600,12,1.163,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0085,0
water,DEP-013,3600,12,0.719,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0086,0
water,DEP-014,3600,12,0.977,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0087,0
water,DEP-009,3600,12,1.107,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0088,0
water,DEP-008,3600,12,0.934,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0089,0
water,DEP-001,3600,12,1.381,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0090,0
water,DEP-003,3600,12,0.981,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0091,0
water,DEP-011,3600,12,0.953,pump_station;raw_water_intake;storage_tank;water_main;water_treatment_plant,CRW-0092,0
vegetation,DEP-002,2800,12,0.925,distribution_feeder;transmission_span,CRW-0093,0
vegetation,DEP-006,2800,12,0.947,distribution_feeder;transmission_span,CRW-0094,0
vegetation,DEP-013,2800,12,1.101,distribution_feeder;transmission_span,CRW-0095,0
vegetation,DEP-014,2800,12,1.058,distribution_feeder;transmission_span,CRW-0096,0
vegetation,DEP-012,2800,12,0.853,distribution_feeder;transmission_span,CRW-0097,0
vegetation,DEP-003,2800,12,1.044,distribution_feeder;transmission_span,CRW-0098,0
vegetation,DEP-010,2800,12,0.944,distribution_feeder;transmission_span,CRW-0099,0
vegetation,DEP-003,2800,12,1.151,distribution_feeder;transmission_span,CRW-0100,0
vegetation,DEP-006,2800,12,0.709,distribution_feeder;transmission_span,CRW-0101,0
vegetation,DEP-002,2800,12,0.952,distribution_feeder;transmission_span,CRW-0102,0
vegetation,DEP-002,2800,12,0.881,distribution_feeder;transmission_span,CRW-0103,0
vegetation,DEP-001,2800,12,0.946,distribution_feeder;transmission_span,CRW-0104,0
vegetation,DEP-009,2800,12,0.824,distribution_feeder;transmission_span,CRW-0105,0
vegetation,DEP-005,2800,12,1.261,distribution_feeder;transmission_span,CRW-0106,0
vegetation,DEP-009,2800,12,0.945,distribution_feeder;transmission_span,CRW-0107,0
vegetation,DEP-014,2800,12,1.098,distribution_feeder;transmission_span,CRW-0108,0
vegetation,DEP-012,2800,12,0.736,distribution_feeder;transmission_span,CRW-0109,0
vegetation,DEP-007,2800,12,0.963,distribution_feeder;transmission_span,CRW-0110,0
vegetation,DEP-010,2800,12,1.184,distribution_feeder;transmission_span,CRW-0111,0
vegetation,DEP-002,2800,12,0.798,distribution_feeder;transmission_span,CRW-0112,0
vegetation,DEP-004,2800,12,1.007,distribution_feeder;transmission_span,CRW-0113,0
vegetation,DEP-013,2800,12,1.109,distribution_feeder;transmission_span,CRW-0114,0
assessment,DEP-015,1900,12,1.076,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0115,0
assessment,DEP-004,1900,12,0.953,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0116,0
assessment,DEP-007,1900,12,0.95,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0117,0
assessment,DEP-002,1900,12,0.871,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0118,0
assessment,DEP-012,1900,12,1.163,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0119,0
assessment,DEP-013,1900,12,0.883,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0120,0
assessment,DEP-013,1900,12,1.003,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0121,0
assessment,DEP-009,1900,12,1.022,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0122,0
assessment,DEP-012,1900,12,0.869,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0123,0
assessment,DEP-009,1900,12,1.015,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0124,0
assessment,DEP-011,1900,12,1.107,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0125,0
assessment,DEP-001,1900,12,1.119,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0126,0
assessment,DEP-009,1900,12,0.972,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0127,0
assessment,DEP-001,1900,12,1.028,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0128,0
assessment,DEP-006,1900,12,0.966,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0129,0
assessment,DEP-015,1900,12,1.034,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0130,0
assessment,DEP-003,1900,12,0.96,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0131,0
assessment,DEP-001,1900,12,0.74,distribution_feeder;distribution_substation;pump_station;raw_water_intake;recloser;storage_tank;transmission_span;transmission_substation;water_main;water_treatment_plant,CRW-0132,0
water,MUTUAL_AID,7800,12,0.783,,AID-0001,48
water,MUTUAL_AID,7800,12,1.062,,AID-0002,48
water,MUTUAL_AID,7800,12,0.524,,AID-0003,48
vegetation,MUTUAL_AID,8600,12,0.97,,AID-0004,48
line,MUTUAL_AID,7800,12,0.851,,AID-0005,48
line,MUTUAL_AID,7800,12,0.859,,AID-0006,48
line,MUTUAL_AID,8600,12,1.01,,AID-0007,48
water,MUTUAL_AID,8600,12,1.142,,AID-0008,48
line,MUTUAL_AID,9400,12,1.103,,AID-0009,48
line,MUTUAL_AID,9400,12,0.831,,AID-0010,48
line,MUTUAL_AID,7800,12,0.993,,AID-0011,48
line,MUTUAL_AID,7800,12,0.912,,AID-0012,48
vegetation,MUTUAL_AID,9400,12,0.656,,AID-0013,48
water,MUTUAL_AID,8600,12,0.766,,AID-0014,48
line,MUTUAL_AID,8600,12,0.838,,AID-0015,48
water,MUTUAL_AID,9400,12,0.823,,AID-0016,48
line,MUTUAL_AID,9400,12,0.924,,AID-0017,48
line,MUTUAL_AID,7800,12,1.024,,AID-0018,48
line,MUTUAL_AID,8600,12,0.957,,AID-0019,48
line,MUTUAL_AID,8600,12,0.777,,AID-0020,48
line,MUTUAL_AID,9400,12,0.868,,AID-0021,48
line,MUTUAL_AID,7800,12,0.876,,AID-0022,48
water,MUTUAL_AID,7800,12,0.796,,AID-0023,48
line,MUTUAL_AID,9400,12,0.829,,AID-0024,48
line,MUTUAL_AID,8600,12,0.872,,AID-0025,48
line,MUTUAL_AID,8600,12,1.017,,AID-0026,48
line,MUTUAL_AID,8600,12,0.929,,AID-0027,48
water,MUTUAL_AID,7800,12,0.776,,AID-0028,48
line,MUTUAL_AID,8600,12,1.007,,AID-0029,48
line,MUTUAL_AID,8600,12,0.941,,AID-0030,48
water,MUTUAL_AID,7800,12,0.88,,AID-0031,48
line,MUTUAL_AID,9400,12,0.878,,AID-0032,48
water,MUTUAL_AID,8600,12,1.045,,AID-0033,48
line,MUTUAL_AID,9400,12,1.136,,AID-0034,48
line,MUTUAL_AID,7800,12,0.584,,AID-0035,48
vegetation,MUTUAL_AID,9400,12,1.145,,AID-0036,48
vegetation,MUTUAL_AID,9400,12,0.997,,AID-0037,48
line,MUTUAL_AID,9400,12,0.943,,AID-0038,48
line,MUTUAL_AID,9400,12,0.783,,AID-0039,48
line,MUTUAL_AID,8600,12,0.721,,AID-0040,48
