asset_class,lat,lon,lat_end,lon_end,length_km,install_year,design_life_years,material,_material_fragility,condition_score,criticality_tier,elevation_m,dist_to_coast_km,vegetation_density,drainage_quality,drought_susceptibility,_soil_corrosivity_true,_customer_density,zone_id,asset_id,network,site_elevation_m,flood_defence_m,has_backup_generation,backup_runtime_hours,diameter_mm,rating_mva,summer_load_factor,pump_rated_kw,last_inspected_year,customers_served,population_served_water,critical_facilities
transmission_substation,32.3538109296367,-82.21627051616261,32.3538109296367,-82.21627051616261,0.0,1944,60,standard,1.0,10.1,3,63.26,265.54,0.87,0.62,1.0,0.948,0.1367,3,TSS-00026,electric,2.68,0.0,False,0,,211.4,0.75,,2023,0.0,0.0,0
transmission_substation,31.715606349319522,-82.3489737715669,31.715606349319522,-82.3489737715669,0.0,1973,60,standard,1.0,57.0,3,43.51,196.74,0.915,0.65,0.792,0.906,0.1126,3,TSS-00027,electric,3.21,0.0,False,0,,346.2,0.374,,2022,0.0,0.0,0
transmission_substation,31.326367555352846,-84.27370137849108,31.326367555352846,-84.27370137849108,0.0,2014,60,standard,1.0,93.4,2,39.31,141.51,0.613,0.752,0.609,0.606,0.129,7,TSS-00028,electric,0.74,0.0,False,0,,570.8,0.682,,2022,0.0,0.0,0
transmission_substation,30.91064682046245,-81.91746412359666,30.91064682046245,-81.91746412359666,0.0,1964,60,standard,1.0,33.5,3,11.87,99.73,0.487,0.657,0.404,0.565,0.1126,8,TSS-00029,electric,0.69,0.0,False,0,,149.5,0.685,,2022,0.0,0.0,0
transmission_substation,30.141440418944136,-84.13147448920667,30.141440418944136,-84.13147448920667,0.0,1971,60,standard,1.0,40.5,3,3.26,11.96,0.285,0.606,0.149,0.406,0.1127,11,TSS-00030,electric,1.17,0.0,False,0,,593.2,0.939,,2024,0.0,0.0,0
transmission_substation,30.429140504665018,-82.54090542143975,30.429140504665018,-82.54090542143975,0.0,1989,60,standard,1.0,70.3,3,12.92,56.23,0.379,0.637,0.225,0.421,0.1126,8,TSS-00031,electric,1.59,0.0,False,0,,257.5,0.797,,2022,0.0,0.0,0
transmission_substation,30.687922885209833,-84.42638504988287,30.687922885209833,-84.42638504988287,0.0,1968,60,standard,1.0,44.2,2,17.17,68.88,0.22,0.611,0.261,0.387,0.6405,7,TSS-00032,electric,1.96,0.0,False,0,,157.1,0.7,,2025,0.0,0.0,0
transmission_substation,30.252025996297906,-85.29022262673733,30.252025996297906,-85.29022262673733,0.0,1989,60,standard,1.0,58.1,3,5.35,20.91,0.193,0.527,0.239,0.011,0.1126,9,TSS-00033,electric,0.8,0.64,False,0,,422.6,0.659,,2018,0.0,0.0,0
transmission_substation,30.951467445980068,-81.73314142783927,30.951467445980068,-81.73314142783927,0.0,1988,60,standard,1.0,48.7,2,12.86,100.43,0.586,0.655,0.444,0.468,0.1126,8,TSS-00034,electric,5.3,0.68,False,0,,194.9,0.691,,2023,0.0,0.0,0
transmission_substation,31.019064617629176,-85.85829032847325,31.019064617629176,-85.85829032847325,0.0,1970,60,standard,1.0,51.0,3,28.04,115.71,0.641,0.611,0.581,0.198,0.1206,0,TSS-00035,electric,0.63,0.0,False,0,,136.1,0.709,,2021,0.0,0.0,0
transmission_substation,30.472093307400623,-81.60564920474806,30.472093307400623,-81.60564920474806,0.0,2003,60,standard,1.0,78.2,3,5.38,44.56,0.359,0.68,0.275,0.276,0.1126,8,TSS-00036,electric,2.82,0.0,False,0,,252.7,0.762,,2026,0.0,0.0,0
transmission_substation,30.619673691742978,-82.19323212510334,30.619673691742978,-82.19323212510334,0.0,1979,60,standard,1.0,40.7,3,9.67,72.66,0.324,0.706,0.412,0.414,0.1126,8,TSS-00037,electric,1.35,0.0,False,0,,160.9,0.688,,2019,0.0,0.0,0
transmission_substation,30.68068581833764,-82.43289243934898,30.68068581833764,-82.43289243934898,0.0,1963,60,standard,1.0,49.4,1,11.79,82.97,0.428,0.628,0.385,0.451,0.1126,8,TSS-00038,electric,4.57,0.0,False,0,,129.2,0.812,,2025,0.0,0.0,0
transmission_substation,30.61908827373932,-81.51692178631272,30.61908827373932,-81.51692178631272,0.0,1940,60,standard,1.0,2.0,3,5.49,59.08,0.287,0.781,0.306,0.398,0.1126,8,TSS-00039,electric,0.81,0.0,False,0,,258.4,0.42,,2025,0.0,0.0,0
transmission_substation,31.14988911379711,-82.70773218913477,31.14988911379711,-82.70773218913477,0.0,2001,60,standard,1.0,59.0,3,28.65,137.47,0.66,0.55,0.588,0.581,0.1126,10,TSS-00040,electric,1.91,0.0,False,0,,140.7,0.843,,2020,0.0,0.0,0
transmission_substation,30.448362083213315,-85.81759986521092,30.448362083213315,-85.81759986521092,0.0,1941,60,standard,1.0,11.8,3,16.53,51.53,0.4,0.667,0.244,0.036,0.1126,9,TSS-00041,electric,1.6,0.0,False,0,,357.4,0.627,,2020,0.0,0.0,0
transmission_substation,31.858118087356786,-84.0226306034497,31.858118087356786,-84.0226306034497,0.0,1995,60,standard,1.0,70.6,3,58.25,204.16,0.939,0.423,0.79,0.54,0.1185,4,TSS-00042,electric,4.37,0.0,False,0,,541.8,0.672,,2024,0.0,0.0,0
transmission_substation,32.74594122001874,-84.30806386807575,32.74594122001874,-84.30806386807575,0.0,1974,60,standard,1.0,55.0,3,85.98,298.65,0.687,0.724,1.0,0.618,0.2667,4,TSS-00043,electric,3.34,0.0,False,0,,212.8,0.643,,2021,0.0,0.0,0
transmission_substation,31.351280254035775,-85.99701359365072,31.351280254035775,-85.99701359365072,0.0,1992,60,standard,1.0,65.4,3,40.61,155.48,0.727,0.729,0.608,0.425,0.116,0,TSS-00044,electric,0.21,0.0,False,0,,596.7,0.658,,2022,0.0,0.0,0
transmission_substation,31.14566680991849,-85.03526597527166,31.14566680991849,-85.03526597527166,0.0,1967,60,standard,1.0,37.6,3,22.8,117.94,0.45,0.669,0.502,0.426,0.1459,0,TSS-00045,electric,3.76,0.0,False,0,,352.9,0.772,,2024,0.0,0.0,0
transmission_substation,30.61860018110593,-84.95800372579632,30.61860018110593,-84.95800372579632,0.0,1992,60,standard,1.0,68.0,3,17.1,59.11,0.42,0.832,0.333,0.166,0.1162,9,TSS-00046,electric,2.51,1.26,False,0,,138.4,0.991,,2023,0.0,0.0,0
transmission_substation,30.1869764242945,-83.16504320684504,30.1869764242945,-83.16504320684504,0.0,1971,60,standard,1.0,44.8,1,10.51,30.15,0.393,0.79,0.202,0.575,0.1126,11,TSS-00047,electric,0.66,1.24,False,0,,199.9,0.467,,2023,0.0,0.0,0
transmission_substation,31.394567432450156,-84.80931817030904,31.394567432450156,-84.80931817030904,0.0,1971,60,standard,1.0,50.9,3,35.48,145.09,0.627,0.685,0.676,0.479,0.1419,0,TSS-00048,electric,1.3,0.0,False,0,,348.2,0.685,,2024,0.0,0.0,0
transmission_substation,30.72589811246772,-83.27861855882847,30.72589811246772,-83.27861855882847,0.0,1978,60,standard,1.0,51.9,2,20.52,89.05,0.513,0.661,0.515,0.583,0.1126,10,TSS-00049,electric,6.21,0.0,False,0,,350.8,0.896,,2022,0.0,0.0,0
transmission_substation,31.577197495749484,-82.21346141512035,31.577197495749484,-82.21346141512035,0.0,1940,60,standard,1.0,35.7,3,37.27,179.29,0.89,0.582,0.669,0.882,0.1126,3,TSS-00050,electric,2.75,0.0,False,0,,349.8,0.585,,2015,0.0,0.0,0
transmission_substation,30.94202063387669,-82.05958623936017,30.94202063387669,-82.05958623936017,0.0,1984,60,standard,1.0,57.2,3,18.15,106.02,0.648,0.744,0.491,0.548,0.1126,8,TSS-00051,electric,2.3,0.0,False,0,,596.6,0.647,,2024,0.0,0.0,0
transmission_substation,30.497735396710645,-85.48746242482024,30.497735396710645,-85.48746242482024,0.0,1968,60,standard,1.0,43.9,3,10.64,50.93,0.347,0.818,0.272,0.0,0.1126,9,TSS-00052,electric,2.55,0.0,False,0,,572.9,0.541,,2022,0.0,0.0,0
transmission_substation,30.975400658719337,-82.3459409061447,30.975400658719337,-82.3459409061447,0.0,1975,60,standard,1.0,41.2,3,21.84,114.54,0.524,0.707,0.496,0.492,0.1126,8,TSS-00053,electric,2.68,0.0,False,0,,473.5,0.43,,2025,0.0,0.0,0
transmission_substation,30.167277077288652,-82.86999926911416,30.167277077288652,-82.86999926911416,0.0,1952,60,standard,1.0,2.0,3,8.19,28.88,0.238,0.589,0.311,0.555,0.1126,8,TSS-00054,electric,3.71,2.17,False,0,,169.8,0.501,,2025,0.0,0.0,0
transmission_substation,30.7024109696871,-83.89114943855355,30.7024109696871,-83.89114943855355,0.0,1970,60,standard,1.0,62.1,3,20.27,77.96,0.366,0.654,0.337,0.583,0.1653,7,TSS-00055,electric,3.1,0.0,False,0,,418.7,0.911,,2024,0.0,0.0,0
transmission_substation,31.826190398837895,-82.37989885737036,31.826190398837895,-82.37989885737036,0.0,1970,60,standard,1.0,37.2,3,49.28,209.44,0.811,0.673,0.774,0.919,0.1126,3,TSS-00056,electric,0.96,0.0,False,0,,542.7,0.665,,2018,0.0,0.0,0
transmission_substation,32.52622938937313,-84.017114596108,32.52622938937313,-84.017114596108,0.0,1994,60,standard,1.0,57.1,3,76.66,278.41,0.894,0.837,0.901,0.782,0.1211,4,TSS-00057,electric,1.51,0.0,False,0,,396.2,0.742,,2026,0.0,0.0,0
transmission_substation,30.297535516153896,-84.73060552938908,30.297535516153896,-84.73060552938908,0.0,1987,60,standard,1.0,63.8,2,5.37,23.48,0.249,0.722,0.155,0.143,0.1127,9,TSS-00058,electric,0.96,0.0,False,0,,486.2,0.833,,2022,0.0,0.0,0
transmission_substation,30.237359389120474,-84.73871642096732,30.237359389120474,-84.73871642096732,0.0,1999,60,standard,1.0,90.7,3,1.42,16.78,0.344,0.643,0.296,0.145,0.1126,9,TSS-00059,electric,2.08,0.0,False,0,,199.0,0.774,,2020,0.0,0.0,0
transmission_substation,32.77333609738503,-83.78401369044306,32.77333609738503,-83.78401369044306,0.0,1992,60,standard,1.0,85.0,3,90.42,309.55,0.821,0.606,1.0,0.86,0.1126,2,TSS-00060,electric,2.83,0.0,False,0,,122.5,0.773,,2025,0.0,0.0,0
distribution_substation,31.756288253378248,-84.9727259895754,31.756288253378248,-84.9727259895754,0.0,1990,50,standard,1.0,81.5,3,49.68,185.44,0.844,0.592,0.739,0.313,0.1196,0,DSS-00061,electric,2.48,0.0,False,0,,15.4,0.799,,2025,0.0,0.0,0
distribution_substation,32.15503456426885,-84.46575405384598,32.15503456426885,-84.46575405384598,0.0,1961,50,standard,1.0,15.7,3,60.94,231.34,0.814,0.588,0.931,0.35,0.237,4,DSS-00062,electric,2.37,0.0,False,0,,38.7,0.628,,2023,0.0,0.0,0
distribution_substation,32.81233959963707,-81.75019081420845,32.81233959963707,-81.75019081420845,0.0,1975,50,standard,1.0,41.1,1,84.89,307.35,0.727,0.522,1.0,0.614,0.3751,5,DSS-00063,electric,3.1,0.0,False,0,,14.2,0.762,,2018,0.0,0.0,0
distribution_substation,30.837752804925106,-84.09653556376941,30.837752804925106,-84.09653556376941,0.0,1989,50,standard,1.0,41.9,2,23.07,89.77,0.299,0.319,0.382,0.41,0.6271,7,DSS-00064,electric,0.78,0.0,False,0,,43.1,0.611,,2024,0.0,0.0,0
distribution_substation,30.610508342168306,-84.20084063305488,30.610508342168306,-84.20084063305488,0.0,1975,50,standard,1.0,25.9,2,12.61,63.03,0.271,0.612,0.304,0.232,0.416,7,DSS-00065,electric,0.89,0.0,False,0,,63.2,0.667,,2020,0.0,0.0,0
distribution_substation,32.441078827185194,-84.54851395723824,32.441078827185194,-84.54851395723824,0.0,1985,50,standard,1.0,32.4,1,72.83,262.39,0.488,0.458,1.0,0.295,0.6714,4,DSS-00066,electric,2.75,0.0,False,0,,28.7,0.938,,2025,0.0,0.0,0
distribution_substation,30.55651807141316,-84.43433707559755,30.55651807141316,-84.43433707559755,0.0,2011,50,standard,1.0,78.6,2,10.07,54.21,0.34,0.656,0.275,0.155,0.2156,7,DSS-00067,electric,1.58,0.0,False,0,,54.6,0.617,,2021,0.0,0.0,0
distribution_substation,32.32284802853666,-84.22597008267097,32.32284802853666,-84.22597008267097,0.0,1962,50,standard,1.0,20.0,2,71.09,252.75,0.893,0.641,0.817,0.393,0.1622,4,DSS-00068,electric,2.71,0.0,False,0,,17.2,0.741,,2021,0.0,0.0,0
distribution_substation,32.20723895296834,-81.92784193092042,32.20723895296834,-81.92784193092042,0.0,1998,50,standard,1.0,65.8,3,56.45,243.86,0.686,0.612,0.85,0.915,0.4132,3,DSS-00069,electric,1.5,0.0,False,0,,27.5,0.848,,2022,0.0,0.0,0
distribution_substation,30.879100718599943,-84.0430678834868,30.879100718599943,-84.0430678834868,0.0,1976,50,standard,1.0,26.6,2,25.55,95.17,0.346,0.729,0.477,0.364,0.4293,7,DSS-00070,electric,1.74,0.0,False,0,,56.2,0.604,,2024,0.0,0.0,0
distribution_substation,30.625353159259834,-84.29849163047139,30.625353159259834,-84.29849163047139,0.0,1969,50,standard,1.0,42.0,3,13.4,63.39,0.12,0.539,0.421,0.396,0.4932,7,DSS-00071,electric,4.13,0.0,False,0,,15.3,0.515,,2024,0.0,0.0,0
distribution_substation,30.201861952434143,-83.99325214104466,30.201861952434143,-83.99325214104466,0.0,2004,50,standard,1.0,79.3,3,9.4,20.78,0.422,0.635,0.143,0.289,0.0877,11,DSS-00072,electric,1.57,0.0,False,0,,39.3,0.577,,2023,0.0,0.0,0
distribution_substation,31.10011141314305,-84.4848683529701,31.10011141314305,-84.4848683529701,0.0,1978,50,standard,1.0,37.5,3,22.23,114.07,0.45,0.626,0.489,0.305,0.3862,7,DSS-00073,electric,5.04,0.0,False,0,,41.6,0.93,,2021,0.0,0.0,0
distribution_substation,31.686187259407067,-85.51417558073626,31.686187259407067,-85.51417558073626,0.0,1997,50,standard,1.0,54.5,3,41.0,183.28,0.75,0.623,0.764,0.472,0.1896,0,DSS-00074,electric,2.72,0.0,False,0,,51.7,0.502,,2025,0.0,0.0,0
distribution_substation,32.26771109019153,-84.63125921925564,32.26771109019153,-84.63125921925564,0.0,2014,50,standard,1.0,83.0,2,61.73,242.6,0.816,0.735,0.878,0.234,0.2487,4,DSS-00075,electric,2.47,0.0,False,0,,28.8,0.622,,2024,0.0,0.0,0
distribution_substation,32.21284957273554,-81.5,32.21284957273554,-81.5,0.0,1976,50,standard,1.0,43.6,2,55.15,235.65,0.634,0.491,0.743,0.705,0.2739,5,DSS-00076,electric,4.41,1.71,False,0,,16.0,0.662,,2024,0.0,0.0,0
distribution_substation,32.41847562432593,-84.81326913193477,32.41847562432593,-84.81326913193477,0.0,2003,50,standard,1.0,70.1,3,69.16,258.74,0.735,0.578,0.972,0.29,0.1747,4,DSS-00077,electric,1.17,0.0,False,0,,19.6,0.667,,2025,0.0,0.0,0
distribution_substation,32.13487926054511,-82.03651978265222,32.13487926054511,-82.03651978265222,0.0,2009,50,standard,1.0,53.9,3,52.92,237.99,0.753,0.586,0.97,0.967,0.1608,3,DSS-00078,electric,1.49,0.0,False,0,,70.6,0.898,,2025,0.0,0.0,0
distribution_substation,32.72360721674987,-81.82385619525002,32.72360721674987,-81.82385619525002,0.0,1996,50,standard,1.0,67.3,3,80.65,299.04,0.562,0.337,0.987,0.61,0.5916,5,DSS-00079,electric,2.67,0.0,False,0,,66.3,0.906,,2025,0.0,0.0,0
distribution_substation,32.482764881132326,-84.6485196065767,32.482764881132326,-84.6485196065767,0.0,1950,50,standard,1.0,26.4,3,74.3,266.38,0.609,0.54,0.942,0.376,0.5323,4,DSS-00080,electric,1.0,0.0,False,0,,64.3,0.931,,2025,0.0,0.0,0
distribution_substation,32.55491328431538,-81.5,32.55491328431538,-81.5,0.0,2015,50,standard,1.0,84.3,3,67.68,273.62,0.741,0.748,1.0,0.537,0.2098,5,DSS-00081,electric,1.88,0.0,False,0,,43.6,0.728,,2018,0.0,0.0,0
distribution_substation,32.786887920506615,-81.62938716236503,32.786887920506615,-81.62938716236503,0.0,1960,50,standard,1.0,39.9,3,74.45,302.0,0.648,0.72,1.0,0.523,0.1913,5,DSS-00082,electric,3.58,0.0,False,0,,24.6,0.879,,2024,0.0,0.0,0
distribution_substation,32.008842578316454,-84.44941438779409,32.008842578316454,-84.44941438779409,0.0,1974,50,standard,1.0,45.3,3,58.56,215.27,0.729,0.603,0.821,0.317,0.3115,4,DSS-00083,electric,1.69,0.0,False,0,,63.6,0.773,,2024,0.0,0.0,0
distribution_substation,32.72943092011192,-81.88371909256969,32.72943092011192,-81.88371909256969,0.0,1964,50,standard,1.0,5.7,1,75.77,300.93,0.425,0.582,1.0,0.646,0.683,5,DSS-00084,electric,2.96,0.0,False,0,,17.0,0.69,,2021,0.0,0.0,0
distribution_substation,32.1442092169958,-84.31302062798038,32.1442092169958,-84.31302062798038,0.0,1995,50,standard,1.0,72.4,2,64.21,231.8,0.85,0.729,0.858,0.462,0.1787,4,DSS-00085,electric,3.72,0.0,False,0,,21.9,0.875,,2023,0.0,0.0,0
distribution_substation,32.7357691468203,-82.20580270032183,32.7357691468203,-82.20580270032183,0.0,1973,50,standard,1.0,35.3,2,77.76,307.76,0.838,0.606,1.0,0.72,0.241,5,DSS-00086,electric,0.99,0.0,False,0,,36.6,0.697,,2022,0.0,0.0,0
distribution_substation,30.955713912377878,-84.4586563235578,30.955713912377878,-84.4586563235578,0.0,2016,50,standard,1.0,70.7,3,22.24,98.28,0.259,0.581,0.409,0.359,0.6175,7,DSS-00087,electric,3.08,0.0,False,0,,34.7,0.677,,2025,0.0,0.0,0
distribution_substation,32.37702201969416,-84.56741281129152,32.37702201969416,-84.56741281129152,0.0,1970,50,standard,1.0,26.1,3,70.39,255.14,0.609,0.612,0.937,0.315,0.5155,4,DSS-00088,electric,1.08,0.0,False,0,,23.1,0.768,,2024,0.0,0.0,0
distribution_substation,32.82576219026705,-81.67082718619314,32.82576219026705,-81.67082718619314,0.0,1996,50,standard,1.0,57.9,3,79.63,307.17,0.827,0.693,1.0,0.559,0.2263,5,DSS-00089,electric,5.86,0.0,False,0,,30.4,0.634,,2026,0.0,0.0,0
distribution_substation,32.049488827155244,-81.60379832421565,32.049488827155244,-81.60379832421565,0.0,1985,50,standard,1.0,54.2,3,44.58,219.62,0.759,0.664,0.806,0.817,0.1911,3,DSS-00090,electric,1.73,0.0,False,0,,65.4,0.601,,2024,0.0,0.0,0
distribution_substation,33.0,-81.87877928291505,33.0,-81.87877928291505,0.0,1992,50,standard,1.0,54.5,3,90.24,330.86,0.761,0.654,1.0,0.589,0.2542,5,DSS-00091,electric,4.21,0.0,False,0,,55.7,0.729,,2019,0.0,0.0,0
distribution_substation,31.171304895028936,-84.7201839888489,31.171304895028936,-84.7201839888489,0.0,1969,50,standard,1.0,57.2,1,28.9,120.5,0.551,0.554,0.585,0.277,0.3516,7,DSS-00092,electric,2.94,0.0,False,0,,10.4,0.803,,2024,0.0,0.0,0
distribution_substation,32.20428220101034,-84.21993422959508,32.20428220101034,-84.21993422959508,0.0,1960,50,standard,1.0,27.7,2,67.73,239.68,0.836,0.676,0.954,0.431,0.1274,4,DSS-00093,electric,5.01,0.0,False,0,,11.2,0.948,,2023,0.0,0.0,0
distribution_substation,32.41584033025602,-84.1308831819133,32.41584033025602,-84.1308831819133,0.0,1968,50,standard,1.0,49.1,3,77.71,264.42,0.799,0.665,0.917,0.515,0.1241,4,DSS-00094,electric,3.85,0.0,False,0,,18.2,0.656,,2024,0.0,0.0,0
distribution_substation,30.474599924547118,-84.42492426658778,30.474599924547118,-84.42492426658778,0.0,1998,50,standard,1.0,61.1,2,6.82,45.21,0.391,0.547,0.251,0.099,0.1359,9,DSS-00095,electric,2.28,0.7,False,0,,14.2,0.723,,2026,0.0,0.0,0
distribution_substation,32.50685338843645,-84.75866420112872,32.50685338843645,-84.75866420112872,0.0,1960,50,standard,1.0,2.0,3,73.02,268.64,0.738,0.78,0.928,0.305,0.2812,4,DSS-00096,electric,4.23,1.07,False,0,,25.0,0.825,,2017,0.0,0.0,0
distribution_substation,30.98647474455213,-84.43201408991598,30.98647474455213,-84.43201408991598,0.0,1981,50,standard,1.0,58.1,3,24.54,101.96,0.29,0.509,0.438,0.384,0.6021,7,DSS-00097,electric,5.88,0.0,False,0,,35.8,0.47,,2022,0.0,0.0,0
